,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
38,JM Financial Ltd. ,Stockbroking and allied,2.05,6.3,1.23,-0.29,0.69  (Oct 2018),0.69  (Oct 2018),82.44 k,0.00 ,Small Cap,14.25
39,Apollo Hospitals Enterprises Ltd. ,Hospital,1.23,6.3,1.23,0.12,0.85  (Jul 2018),0.85  (Jul 2018),4.65 k,0.00 ,Mid Cap,62.93
40,Sundaram-Clayton Ltd. ,Auto ancillaries,3.69,6.2,1.21,-0.14,1.21  (Jun 2019),1.21  (Jun 2019),2.68 k,0.00 ,Small Cap,14.25
41,Motherson Sumi Systems Ltd. ,Auto ancillaries,3.69,5.3,1.03,0.07,0.7  (Apr 2019),0.7  (Apr 2019),43.41 k,0.00 ,Large Cap,16.97
42,Tata Power Co. Ltd. ,Power,1,5.1,1.00,0.01,0.99  (May 2019),0  (Jul 2018),74.33 k,0.00 ,Mid Cap,62.93
43,Karur Vysya Bank Ltd ,Banks,5.6,3.8,0.74,-0.07,0.74  (Jun 2019),0.74  (Jun 2019),54.01 k,0.00 ,Small Cap,14.25
44,- ICICI Securities Ltd. ,Stockbroking and allied,2.05,3.5,0.67,0.00,0.67  (Feb 2019),0  (Jul 2018),15.66 k,0.00 ,Small Cap,14.25
45,- IIFL Wealth Management Ltd. ,Investment companies,1.92,0.9,0.17,0.00,0.17  (May 2019),0  (Jul 2018),667.00 ,667.00 ,Other,2.63
46,IIFL Holdings Ltd. ,Stockbroking and allied,2.05,0.7,0.13,-0.04,0.13  (Jun 2019),0  (Jul 2018),4.67 k,0.00 ,Small Cap,14.25
47,- IIFL Securities Ltd. ,Stockbroking and allied,2.05,0.1,0.02,0.00,0.02  (May 2019),0  (Jul 2018),4.67 k,4.67 k,Other,2.63
