,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
11,V-Mart Retail Ltd. ,Retailing,4.83,86.6,2.73,0.13,1.88  (Mar 2019),0  (Jul 2018),39.20 k,4.84 k,Small Cap,71.32
12,Heritage Foods (india) Ltd. ,Consumer food,5.66,84.5,2.66,0.38,2.28  (May 2019),2.28  (May 2019),2.08 L,27.86 k,Small Cap,71.32
13,Multi Commodity Exchange Of India Ltd. ,Other financial services,2.66,84.2,2.66,0.14,2.1  (Dec 2018),2.1  (Dec 2018),1.01 L,0.00 ,Small Cap,71.32
14,Tata Metaliks Ltd. ,Pig iron,2.51,79.5,2.51,0.07,2.43  (Jul 2018),2.43  (Jul 2018),1.32 L,0.00 ,Small Cap,71.32
15,RITES Ltd. ,"Engineering, designing, construction",2.46,78,2.46,0.16,2  (Apr 2019),2  (Apr 2019),2.67 L,0.00 ,Small Cap,71.32
16,City Union Bank Ltd. ,Banks,3.37,77,2.43,0.13,2.13  (Feb 2019),2.13  (Feb 2019),3.53 L,0.00 ,Mid Cap,21.97
17,Syngene International Ltd. ,Pharmaceuticals,8.97,75.7,2.39,0.44,1.95  (May 2019),0  (Jul 2018),2.27 L,1.32 L,Mid Cap,21.97
18,IRCON International Limited ,Construction projects,2.34,74.3,2.34,0.02,2.24  (Nov 2018),0  (Jul 2018),1.85 L,0.00 ,Small Cap,71.32
19,Lumax Industries Ltd. ,Auto ancillaries,5.13,73.2,2.31,-0.24,2.07  (Jan 2019),0  (Jul 2018),57.27 k,0.00 ,Small Cap,71.32
20,Tata Elxsi Ltd. ,Computers - software,3.8,71.3,2.25,0.10,2.15  (May 2019),2.15  (May 2019),80.55 k,0.00 ,Small Cap,71.32
21,Avanti Feeds Ltd. ,Animal feed,2.18,69.1,2.18,-0.07,1.97  (Nov 2018),0  (Jul 2018),1.96 L,0.00 ,Small Cap,71.32
22,Aditya Birla Fashion and Retail Ltd. ,Retailing,4.83,66.5,2.10,0.10,0.97  (Feb 2019),0  (Jul 2018),3.09 L,0.00 ,Mid Cap,21.97
23,Indian Energy Exchange Ltd. ,Capital markets,2.06,65.3,2.06,-0.14,2.06  (Jun 2019),2.06  (Jun 2019),4.53 L,-6.18 k,Small Cap,71.32
24,Varun Beverages Ltd. ,Consumer food,5.66,64.3,2.03,0.09,1.94  (May 2019),0  (Jul 2018),67.87 k,0.00 ,Mid Cap,21.97
25,L&T Technology Services Ltd. ,It enabled services – software,2,63.4,2.00,0.56,1.44  (May 2019),0  (Jul 2018),36.30 k,9.60 k,Mid Cap,21.97
26,Carborundum Universal Ltd. ,Abrasives,1.99,63.2,1.99,-0.05,1.94  (Apr 2019),1.94  (Apr 2019),1.77 L,0.00 ,Small Cap,71.32
27,Dhanuka Agritech Ltd. ,Pesticides and agrochemicals,2.79,54.7,1.73,0.26,1.45  (Apr 2019),1.45  (Apr 2019),1.27 L,0.00 ,Small Cap,71.32
28,Cochin Shipyard Ltd. ,Ship building & allied services,1.72,54.6,1.72,0.02,1.7  (May 2019),1.7  (May 2019),1.44 L,0.00 ,Small Cap,71.32
29,Alembic Pharmaceuticals Ltd. ,Pharmaceuticals,8.97,53,1.67,0.01,1.66  (May 2019),1.66  (May 2019),1.04 L,0.00 ,Mid Cap,21.97
30,Mahanagar Gas Ltd. ,Lpg/cng/png/lng supplier,1.64,52,1.64,-0.03,1.64  (Jun 2019),1.64  (Jun 2019),61.19 k,0.00 ,Small Cap,71.32
31,Accelya Kale Solutions Limited ,Computers - software,3.8,49.1,1.55,-0.02,1.55  (Jun 2019),0  (Jul 2018),56.89 k,0.00 ,Small Cap,71.32
32,Ajanta Pharma Limited ,Pharmaceuticals,8.97,49,1.55,-0.09,1.55  (Apr 2019),1.55  (Jun 2019),51.28 k,0.00 ,Small Cap,71.32
33,Supreme Industries Ltd. ,Plastic products,1.45,46,1.45,0.12,1.33  (May 2019),1.33  (May 2019),40.09 k,0.00 ,Mid Cap,21.97
34,- Bajaj Consumer Care Ltd. ,Personal care,1.44,45.5,1.44,0.00,1.34  (Mar 2019),0  (Jul 2018),1.38 L,0.00 ,Small Cap,71.32
35,Crompton Greaves Consumer Electricals Ltd. ,Home appliances,4.19,45,1.42,0.01,1.06  (Sep 2018),0  (Jul 2018),1.94 L,0.00 ,Mid Cap,21.97
36,Swaraj Engines Ltd. ,Diesel engines,1.34,42.5,1.34,0.03,1.29  (Apr 2019),1.29  (Apr 2019),30.36 k,0.00 ,Small Cap,71.32
37,Mahindra Logistics Ltd. ,Logistics solution provider,4.81,40.1,1.26,-0.04,1.26  (Jun 2019),1.26  (Jun 2019),82.94 k,0.00 ,Small Cap,71.32
38,Great Eastern Shipping Co. Ltd. ,Shipping,1.09,34.6,1.09,-0.03,0.92  (Dec 2018),0  (Jul 2018),1.31 L,0.00 ,Small Cap,71.32
39,Tata Chemicals Ltd. ,Chemicals - inorganic,1.07,34,1.07,0.02,0.95  (Apr 2019),0.95  (Apr 2019),54.20 k,0.00 ,Mid Cap,21.97
40,Pi Industries Ltd. ,Pesticides and agrochemicals,2.79,33.6,1.06,0.72,0.34  (May 2019),0  (Jul 2018),28.67 k,18.93 k,Mid Cap,21.97
41,Equitas Holdings Ltd. ,Investment companies,1,31.7,1.00,-0.13,0.93  (Nov 2018),0  (Jul 2018),2.64 L,0.00 ,Small Cap,71.32
42,Schaeffler India Ltd. ,Bearings,0.99,31.5,0.99,-0.03,0.99  (Jun 2019),0  (Jul 2018),6.45 k,0.00 ,Mid Cap,21.97
43,Prataap Snacks Ltd. ,Consumer food,5.66,30.9,0.97,-0.07,0.59  (Mar 2019),0  (Jul 2018),37.49 k,0.00 ,Small Cap,71.32
44,Ujjivan Small Finance Bank Ltd. ,Banks,3.37,29.7,0.94,-0.17,0.87  (Dec 2018),0  (Jul 2018),1.00 L,0.00 ,Small Cap,71.32
45,Vesuvius India Ltd. ,Refractories,0.93,29.5,0.93,-0.02,0.91  (Apr 2019),0  (Jul 2018),26.49 k,0.00 ,Small Cap,71.32
46,TCNS Clothing Company Ltd. ,Fabrics and garments,0.9,28.5,0.90,0.05,0.53  (Feb 2019),0  (Jul 2018),34.19 k,0.00 ,Small Cap,71.32
47,Gateway Distriparks Ltd. ,Logistics solution provider,4.81,24.5,0.77,-0.07,0.77  (Jun 2019),0  (Jul 2018),1.86 L,0.00 ,Small Cap,71.32
48,- Finolex Cables Ltd. ,Cables - electricals,0.69,21.7,0.69,0.00,0.66  (Apr 2019),0.66  (Apr 2019),49.34 k,0.00 ,Small Cap,71.32
49,# Harita Seating Systems Ltd. ,Auto ancillaries,5.13,1.6,0.05,0.05,0.05  (Jun 2019),0  (Jul 2018),3.71 k,3.71 k,Small Cap,71.32
