,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
25,India Cements Ltd. ,Cement,7.41,18.9,1.67,-0.01,1.44  (Jan 2019),1.44  (Jan 2019),1.89 L,0.00 ,Small Cap,91.51
26,INOX Leisure Ltd. ,"Flim production, distribution & exhibition",1.65,18.7,1.65,-0.16,0.82  (Jul 2018),0.82  (Jul 2018),57.12 k,0.00 ,Small Cap,91.51
27,NCC Ltd. ,"Engineering, designing, construction",9.98,18.5,1.63,0.07,1.56  (May 2019),1.56  (May 2019),1.90 L,0.00 ,Small Cap,91.51
28,Rane Holdings Ltd. ,Investment companies,1.55,17.5,1.55,-0.16,1.52  (Jan 2019),1.52  (Jan 2019),16.58 k,0.00 ,Small Cap,91.51
29,Cyient Ltd. ,It enabled services – software,1.4,15.8,1.40,0.02,1.38  (May 2019),1.38  (May 2019),29.14 k,0.00 ,Small Cap,91.51
30,Mahindra Holidays & Resorts India Ltd. ,Hotels/resorts,2.48,15.8,1.40,0.10,0.08  (Nov 2018),0.08  (Nov 2018),67.98 k,0.00 ,Small Cap,91.51
31,Ujjivan Small Finance Bank Ltd. ,Banks,3.25,15.7,1.39,-0.23,0.91  (Oct 2018),0.91  (Oct 2018),52.97 k,0.00 ,Small Cap,91.51
32,- Muthoot Capital Services Ltd. ,Nbfc,2.48,15.7,1.39,-0.01,1.39  (Jun 2019),1.39  (Jun 2019),22.05 k,0.00 ,Small Cap,91.51
33,Timken India Ltd. ,Bearings,3.34,14.9,1.32,0.16,0.84  (Oct 2018),0.84  (Oct 2018),20.30 k,0.00 ,Small Cap,91.51
34,Brigade Enterprises Ltd. ,Residential/commercial/sez project,2.38,14.9,1.31,0.10,0.81  (Oct 2018),0.81  (Oct 2018),57.55 k,0.00 ,Small Cap,91.51
35,Arvind Fashions Ltd. ,Industrial equipment,3.1,14.7,1.30,0.11,1.1  (Apr 2019),0  (Jul 2018),21.57 k,4.00 k,Other,4.11
36,Khadim India Ltd. ,Leather and leather products,1.22,13.8,1.22,-0.08,1.22  (Jun 2019),1.22  (Jun 2019),45.32 k,0.00 ,Small Cap,91.51
37,GNA Axles Ltd. ,Auto ancillaries,5.1,13.2,1.17,-0.06,1.17  (Jun 2019),1.17  (Jun 2019),48.55 k,0.00 ,Small Cap,91.51
38,L G Balakrishnan & Bros Ltd. ,Auto ancillaries,5.1,12.3,1.09,-0.05,1.09  (Jun 2019),1.09  (Jun 2019),36.12 k,0.00 ,Small Cap,91.51
39,Vesuvius India Ltd. ,Refractories,1.09,12.3,1.09,0.00,1.06  (Apr 2019),0  (Jul 2018),11.00 k,0.00 ,Small Cap,91.51
40,Taj GVK Hotels & Resorts Ltd. ,Hotels/resorts,2.48,12.2,1.08,-0.05,0.94  (Sep 2018),0.94  (Sep 2018),64.94 k,0.00 ,Small Cap,91.51
41,Capacite Infraprojects Ltd. ,Residential/commercial/sez project,2.38,12.1,1.07,0.05,0.74  (Oct 2018),0.74  (Oct 2018),44.44 k,0.00 ,Small Cap,91.51
42,Magma Fincorp Ltd. ,Nbfc,2.48,12,1.07,0.04,1.02  (May 2019),0  (Jul 2018),92.64 k,0.00 ,Small Cap,91.51
43,Century Plyboards India Ltd. ,Plywood boards,1.05,11.9,1.05,0.03,1.02  (May 2019),0  (Jul 2018),70.94 k,0.00 ,Small Cap,91.51
44,KPIT Engineering Ltd. ,Auto ancillaries,5.1,11.4,1.01,0.04,0.97  (May 2019),0  (Jul 2018),1.18 L,0.00 ,Other,4.11
45,Premier Explosives Ltd. ,Explosives,0.99,11.2,0.99,-0.01,0.55  (Sep 2018),0.55  (Sep 2018),56.44 k,0.00 ,Small Cap,91.51
46,Accelya Kale Solutions Limited ,Computers - software,0.97,11,0.97,0.01,0.95  (Mar 2019),0  (Jul 2018),12.70 k,0.00 ,Small Cap,91.51
47,PTC India Ltd. ,Power trading,0.87,9.8,0.87,0.02,0.85  (May 2019),0  (Jul 2018),1.46 L,0.00 ,Small Cap,91.51
48,- Triveni Turbine Ltd. ,Power equipment,1.65,9.7,0.85,0.00,0.79  (Jul 2018),0.79  (Jul 2018),92.94 k,0.00 ,Small Cap,91.51
49,Indian Terrain Fashions Ltd. ,Fabrics and garments,3.26,9.2,0.81,0.00,0.81  (Jun 2019),0.81  (Jun 2019),87.70 k,0.00 ,Small Cap,91.51
50,INEOS Styrolution India Ltd. ,Plastic products,0.8,9,0.80,-0.01,0.8  (Jun 2019),0.8  (Jun 2019),19.54 k,0.00 ,Small Cap,91.51
51,TD Power Systems Ltd. ,Power equipment,1.65,9,0.80,0.04,0.54  (Aug 2018),0.54  (Aug 2018),58.94 k,0.00 ,Small Cap,91.51
52,Prabhat Dairy Ltd. ,Consumer food,2.63,8.7,0.77,-0.07,0.71  (Feb 2019),0.71  (Feb 2019),1.48 L,0.00 ,Small Cap,91.51
53,HSIL Ltd. ,Glass – consumer,0.76,8.6,0.76,-0.04,0.6  (Nov 2018),0.6  (Nov 2018),33.62 k,0.00 ,Small Cap,91.51
54,Dollar Industries Ltd. ,Fabrics and garments,3.26,7.3,0.65,0.05,0.6  (May 2019),0.6  (May 2019),28.65 k,0.00 ,Small Cap,91.51
55,Force Motors Ltd. ,Commercial vehicles,0.64,7.2,0.64,-0.03,0.64  (Jun 2019),0.64  (Jun 2019),5.09 k,0.00 ,Small Cap,91.51
56,R.P.P. Infra Projects Ltd. ,Construction civil,0.49,5.6,0.49,-0.06,0.48  (Feb 2019),0.48  (Feb 2019),52.12 k,0.00 ,Small Cap,91.51
57,CL Educate Ltd. ,Education,0.42,4.7,0.42,-0.01,0.38  (Oct 2018),0.38  (Oct 2018),45.58 k,0.00 ,Small Cap,91.51
58,S Chand And Company Ltd. ,Printing and publishing,1.97,2.8,0.25,-0.05,0.25  (Jun 2019),0.25  (Jun 2019),32.36 k,0.00 ,Small Cap,91.51
59,Mcleod Russel (India) Ltd. ,Tea &  coffee,0.22,2.5,0.22,-0.20,0.22  (Jun 2019),0.22  (Jun 2019),1.49 L,0.00 ,Small Cap,91.51
60,- CreditAccess Grameen Ltd. ,Nbfc,2.48,0.3,0.02,0.00,0.02  (May 2019),0  (Jul 2018),515.00 ,0.00 ,Small Cap,91.51
61,# JM Financial Ltd. ,Stockbroking and allied,0.01,0.2,0.01,0.01,0.01  (Jun 2019),0  (Jul 2018),2.06 k,2.06 k,Small Cap,91.51
