,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
24,Nrb Bearings Ltd. ,Bearings,3.21,7.7,1.73,-0.27,1.7  (Jul 2018),1.7  (Jul 2018),45.49 k,0.00 ,Small Cap,96
25,INOX Leisure Ltd. ,"Flim production, distribution & exhibition",4.26,7.5,1.69,0.22,0.84  (Jul 2018),0.84  (Jul 2018),19.93 k,0.00 ,Small Cap,96
26,Indostar Capital Finance Private Ltd. ,Nbfc,1.59,7.1,1.59,-0.09,1.38  (Oct 2018),1.38  (Oct 2018),17.94 k,0.00 ,Small Cap,96
27,WPIL Ltd. ,Compressors / pumps,2.75,6.7,1.51,0.17,1.16  (Jun 2018),1.16  (Jun 2018),6.96 k,0.00 ,Small Cap,96
28,Timken India Ltd. ,Bearings,3.21,6.6,1.48,0.23,1.17  (Nov 2018),1.17  (Nov 2018),9.70 k,0.00 ,Small Cap,96
29,NCC Ltd. ,"Engineering, designing, construction",8.75,6.5,1.46,-0.88,1.46  (May 2019),1.46  (May 2019),66.46 k,-0.34 L,Small Cap,96
30,Thyrocare Technologies Ltd. ,Healthcare service providers ,1.42,6.3,1.42,-0.12,1.42  (May 2019),1.42  (May 2019),13.32 k,0.00 ,Small Cap,96
31,Heritage Foods (india) Ltd. ,Consumer food,1.34,6,1.34,-0.42,1.34  (May 2019),1.34  (May 2019),14.48 k,0.00 ,Small Cap,96
32,Johnson Controls-Hitachi Air Conditioning India Ltd. ,Air conditioner,6.25,5.9,1.33,-0.06,1.33  (May 2019),1.33  (May 2019),3.22 k,0.00 ,Small Cap,96
33,PTC India Ltd. ,Power trading,1.29,5.7,1.29,-0.07,1.29  (May 2019),1.29  (May 2019),83.07 k,0.00 ,Small Cap,96
34,Ksb Pumps Ltd. ,Compressors / pumps,2.75,5.5,1.24,-0.03,1.13  (Aug 2018),1.13  (Aug 2018),8.09 k,0.00 ,Small Cap,96
35,Capacite Infraprojects Ltd. ,Residential/commercial/sez project,0.96,4.3,0.96,0.12,0.72  (Oct 2018),0.72  (Oct 2018),15.81 k,0.00 ,Small Cap,96
36,Navneet Publications (india) Ltd. ,Printing and publishing,1.22,4.1,0.93,-0.06,0.91  (Jul 2018),0.91  (Jul 2018),37.75 k,0.00 ,Small Cap,96
37,Take Solutions Ltd. ,Computers - software,0.9,4,0.90,-0.01,0.67  (Nov 2018),0.67  (Nov 2018),26.36 k,0.00 ,Small Cap,96
38,Cyient Ltd. ,It enabled services – software,0.89,4,0.89,-0.09,0.89  (May 2019),0.89  (May 2019),7.06 k,0.00 ,Small Cap,96
39,Salzer Electronics Ltd. ,Consumer elctronics,0.89,4,0.89,0.05,0.77  (Mar 2019),0.77  (Mar 2019),29.41 k,0.00 ,Small Cap,96
40,Redington (India) Ltd. ,Logistics solution provider,0.84,3.8,0.84,-0.05,0.7  (Jan 2019),0.7  (Jan 2019),37.45 k,0.00 ,Small Cap,96
41,Premier Explosives Ltd. ,Explosives,0.82,3.7,0.82,-0.10,0.6  (Sep 2018),0.6  (Sep 2018),17.39 k,0.00 ,Small Cap,96
42,Khadim India Ltd. ,Leather and leather products,0.79,3.5,0.79,-0.17,0.79  (May 2019),0.79  (May 2019),10.26 k,0.00 ,Small Cap,96
43,VA Tech Wabag Ltd. ,"Engineering, designing, construction",8.75,2.9,0.65,0.04,0.56  (Dec 2018),0.56  (Dec 2018),9.07 k,0.00 ,Small Cap,96
44,Dollar Industries Ltd. ,Fabrics and garments,2.49,2.9,0.64,-0.08,0.64  (May 2019),0.64  (May 2019),11.48 k,0.00 ,Small Cap,96
45,Force Motors Ltd. ,Commercial vehicles,0.63,2.8,0.63,-0.08,0.59  (Jun 2018),0.59  (Jun 2018),1.80 k,0.00 ,Small Cap,96
46,Asian Granito India Ltd. ,Sanitary ware,0.62,2.8,0.62,0.13,0.43  (Jan 2019),0.43  (Jan 2019),10.90 k,0.00 ,Small Cap,96
47,Mcleod Russel (India) Ltd. ,Tea &  coffee,0.41,1.8,0.41,-0.37,0.41  (May 2019),0.41  (May 2019),54.67 k,0.00 ,Small Cap,96
48,R.P.P. Infra Projects Ltd. ,Construction civil,4.77,1.7,0.39,-0.07,0.35  (Mar 2019),0.35  (Mar 2019),13.76 k,0.00 ,Small Cap,96
49,S Chand And Company Ltd. ,Printing and publishing,1.22,1.3,0.29,-0.11,0.29  (May 2019),0.29  (May 2019),11.56 k,0.00 ,Small Cap,96
50,Arrow Greentech Ltd. ,Packaging,0.09,0.4,0.09,-0.04,0.09  (May 2019),0.09  (May 2019),6.66 k,-1.05 k,Small Cap,96
