,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
36,Laurus Labs Ltd. ,Pharmaceuticals,3.28,162.2,1.27,-0.18,1.08  (Feb 2019),1.08  (Feb 2019),4.50 L,11.33 k,Small Cap,67.65
37,Mahindra & Mahindra Financial Services Ltd. ,Nbfc,4.4,158.1,1.24,0.04,1.03  (Sep 2018),1.03  (Sep 2018),3.75 L,30.00 k,Mid Cap,21.47
38,- Thermax Ltd. ,Industrial equipment,2.76,156.4,1.23,0.00,1.15  (Mar 2019),1.15  (Mar 2019),1.53 L,8.13 k,Mid Cap,21.47
39,Persistent Systems Ltd. ,Computers - software,1.21,154,1.21,-0.25,1.19  (May 2019),1.19  (May 2019),2.65 L,0.00 ,Small Cap,67.65
40,Finolex Cables Ltd. ,Cables - electricals,1.17,149.4,1.17,-0.08,1.08  (Jan 2019),1.08  (Jan 2019),3.28 L,0.00 ,Small Cap,67.65
41,Shriram City Union Finance Ltd. ,Nbfc,4.4,144.3,1.13,-0.21,1.12  (May 2019),1.12  (May 2019),94.10 k,0.00 ,Small Cap,67.65
42,Coromandel International Ltd. ,Fertilisers-phosphatic,1.12,142.7,1.12,-0.11,1.11  (May 2019),0  (Jun 2018),3.27 L,0.00 ,Mid Cap,21.47
43,Varroc Engineering Pvt Ltd. ,Auto ancillaries,2.31,142,1.11,0.13,0.57  (Jan 2019),0.57  (Jan 2019),2.76 L,70.98 k,Small Cap,67.65
44,Bharat Earth Movers Ltd. ,Industrial equipment,2.76,127.6,1.00,0.01,0.79  (Oct 2018),0.79  (Oct 2018),1.31 L,0.00 ,Small Cap,67.65
45,V-Guard Industries Ltd. ,Industrial electronics,0.96,122.5,0.96,0.12,0  (Nov 2018),0  (Jun 2018),5.05 L,60.00 k,Small Cap,67.65
46,Aavas Financiers Ltd. ,Housing finance,0.94,120.1,0.94,-0.17,0.93  (May 2019),0  (Jun 2018),84.57 k,-0.23 L,Mid Cap,21.47
47,Great Eastern Shipping Co. Ltd. ,Shipping,0.94,120,0.94,-0.13,0.13  (Aug 2018),0  (Jun 2018),4.28 L,0.00 ,Small Cap,67.65
48,Cadila Healthcare Ltd. ,Pharmaceuticals,3.28,107.4,0.84,-0.02,0.77  (Jun 2018),0.77  (Jun 2018),4.33 L,1.30 L,Mid Cap,21.47
49,MRF Ltd. ,Tyres & allied,0.8,102.2,0.80,-0.05,0.79  (May 2019),0.79  (May 2019),1.85 k,0.00 ,Mid Cap,21.47
50,Shree Cement Ltd. ,Cement,6.07,98.8,0.77,-0.18,0.58  (Jun 2018),0.58  (Jun 2018),4.57 k,-1.00 k,Large Cap,4.5
51,Torrent Pharmaceuticals Ltd. ,Pharmaceuticals,3.28,93.7,0.73,-0.15,0.73  (May 2019),0.73  (May 2019),59.87 k,2.84 k,Mid Cap,21.47
52,Apar Industries Ltd. ,Power equipment,0.64,81.9,0.64,-0.10,0.63  (May 2019),0.63  (May 2019),1.22 L,-5.45 k,Small Cap,67.65
53,Motherson Sumi Systems Ltd. ,Auto ancillaries,2.31,79.3,0.62,-0.25,0.61  (May 2019),0.61  (May 2019),6.88 L,0.00 ,Large Cap,4.5
54,- Sandhar Technologies Ltd. ,Auto ancillaries,2.31,74.6,0.58,0.00,0.58  (May 2019),0  (Jun 2018),2.50 L,0.00 ,Small Cap,67.65
55,Navneet Publications (india) Ltd. ,Printing and publishing,0.53,67.4,0.53,-0.07,0.52  (May 2019),0.52  (May 2019),6.17 L,0.00 ,Small Cap,67.65
56,Arvind Fashions Ltd. ,Industrial equipment,2.76,67.1,0.53,-0.20,0.52  (May 2019),0  (Jun 2018),83.73 k,0.00 ,Other,0.53
57,Sundaram Finance Limited ,Nbfc,4.4,66.1,0.52,0.03,0.48  (Apr 2019),0.48  (Apr 2019),38.85 k,0.00 ,Mid Cap,21.47
58,Ipca Laboratories Ltd. ,Pharmaceuticals,3.28,43.1,0.34,-0.05,0.33  (May 2019),0  (Jun 2018),45.99 k,0.00 ,Mid Cap,21.47
59,Arvind Ltd. ,Fabrics and garments,3.95,38,0.30,-0.07,0.29  (May 2019),0  (Jun 2018),5.09 L,0.00 ,Small Cap,67.65
60,SKF India Ltd. ,Bearings,1.69,20.5,0.16,-0.02,0.16  (May 2019),0.16  (May 2019),10.82 k,0.00 ,Small Cap,67.65
61,Solara Active Pharma Sciences Ltd. ,Pharmaceuticals,3.28,12.5,0.10,0.01,0.06  (Jul 2018),0.06  (Jul 2018),26.67 k,0.00 ,Small Cap,67.65
62,Carborundum Universal Ltd. ,Abrasives,0.09,11.3,0.09,-0.02,0.09  (May 2019),0.09  (May 2019),29.92 k,-5.93 k,Small Cap,67.65
63,# Alkyl Amines Chemicals Ltd. ,Chemicals - organic,0.03,4,0.03,0.03,0.03  (May 2019),0  (Jun 2018),4.78 k,4.78 k,Small Cap,67.65
