,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
34,Dishman Carbogen Amcis Ltd. ,Pharmaceuticals,4.56,37.6,1.19,-0.19,1.19  (May 2019),1.19  (May 2019),1.56 L,0.00 ,Small Cap,80.35
35,Matrimony.com Ltd. ,Diversified services,1.87,36.6,1.16,-0.13,1.16  (Feb 2019),0  (Jun 2018),53.45 k,0.00 ,Small Cap,80.35
36,# Neogen Chemicals Ltd. ,Chemicals - speciality,2.51,34.9,1.10,1.10,1.1  (May 2019),0  (Jun 2018),1.15 L,1.15 L,Other,1.1
37,Cochin Shipyard Ltd. ,Ship building & allied services,1.06,33.5,1.06,-0.22,1.06  (May 2019),1.06  (May 2019),86.85 k,0.00 ,Small Cap,80.35
38,Finolex Cables Ltd. ,Cables - electricals,1.05,33.1,1.05,-0.21,1.05  (May 2019),0  (Jun 2018),72.68 k,0.00 ,Small Cap,80.35
39,# Somany Ceramics Ltd. ,Sanitary ware,1.04,32.9,1.04,1.04,1.04  (May 2019),0  (Jun 2018),74.67 k,74.67 k,Small Cap,80.35
40,# Ashoka Buildcon Ltd. ,"Engineering, designing, construction",2.63,32.2,1.02,1.02,1.02  (May 2019),0  (Jun 2018),2.25 L,2.25 L,Small Cap,80.35
41,Persistent Systems Ltd. ,Computers - software,1.51,30.1,0.95,-0.34,0.32  (Nov 2018),0  (Jun 2018),51.72 k,0.00 ,Small Cap,80.35
42,South Indian Bank Ltd. ,Banks,6.02,27.4,0.87,0.01,0.85  (Apr 2019),0.85  (Apr 2019),19.35 L,5.35 L,Small Cap,80.35
43,Karur Vysya Bank Ltd ,Banks,6.02,27,0.85,-0.19,0.85  (May 2019),0.85  (May 2019),3.46 L,0.00 ,Small Cap,80.35
44,K.P.R. Mill Ltd. ,Fabrics and garments,1.58,25.9,0.82,-0.07,0.82  (May 2019),0  (Jun 2018),41.99 k,3.99 k,Small Cap,80.35
45,Entertainment Network (India) Ltd. ,Media & entertainment,0.81,25.5,0.81,-0.23,0.81  (May 2019),0.81  (May 2019),53.23 k,0.00 ,Small Cap,80.35
46,SP Apparels Ltd. ,Fabrics and garments,1.58,23.9,0.76,-0.21,0.76  (May 2019),0.76  (May 2019),81.72 k,0.00 ,Small Cap,80.35
47,Mayur Uniquoters Limited ,Textiles,0.74,23.4,0.74,-0.25,0.74  (May 2019),0.74  (May 2019),75.48 k,0.00 ,Small Cap,80.35
48,Thomas Cook (india) Ltd. ,Diversified services,1.87,22.3,0.71,-0.21,0.71  (May 2019),0  (Jun 2018),95.33 k,0.00 ,Small Cap,80.35
49,City Union Bank Ltd. ,Banks,6.02,22,0.70,-0.13,0.7  (May 2019),0  (Jun 2018),1.04 L,0.00 ,Mid Cap,4.59
50,SJVN Ltd. ,Power,5.4,21,0.66,-0.11,0.66  (May 2019),0  (Jun 2018),8.26 L,0.00 ,Small Cap,80.35
51,Astra Microwave Products Ltd. ,Telecom -  equipment,0.65,20.6,0.65,-0.15,0.65  (May 2019),0.65  (May 2019),2.34 L,0.00 ,Small Cap,80.35
52,Sudarshan Chemical Industries Ltd. ,Dyes and pigments,0.64,20.3,0.64,-0.16,0.64  (May 2019),0.64  (May 2019),60.94 k,0.00 ,Small Cap,80.35
53,- TD Power Systems Ltd. ,Power equipment,0.59,18.6,0.59,-0.01,0.59  (May 2019),0  (Jun 2018),1.22 L,0.00 ,Small Cap,80.35
54,NIIT Techonologies Ltd. ,Computers - software,1.51,17.6,0.56,-0.13,0.56  (May 2019),0  (Jun 2018),13.47 k,0.00 ,Small Cap,80.35
55,Alembic Pharmaceuticals Ltd. ,Pharmaceuticals,4.56,5.9,0.19,-0.06,0.19  (May 2019),0  (Jun 2018),11.39 k,0.00 ,Mid Cap,4.59
56,Khadim India Ltd. ,Leather and leather products,0.18,5.6,0.18,-0.08,0.18  (May 2019),0.18  (May 2019),16.44 k,0.00 ,Small Cap,80.35
57,# Ashiana Housing Ltd. ,Residential/commercial/sez project,3.94,4.8,0.15,0.15,0.15  (May 2019),0  (Jun 2018),39.73 k,39.73 k,Small Cap,80.35
58,Manpasand Beverages Ltd. ,Consumer food,0.15,4.6,0.15,-0.24,0.15  (May 2019),0.15  (May 2019),89.85 k,0.00 ,Small Cap,80.35
59,# Ahluwalia Contracts (India) Ltd. ,Construction civil,8.12,1.5,0.05,0.05,0  (Apr 2019),0  (Jun 2018),4.47 k,4.09 k,Small Cap,80.35
