,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
16,Johnson Controls-Hitachi Air Conditioning India Ltd. ,Air conditioner,3.77,4.1,1.98,0.01,0.47  (Jan 2019),0  (Jul 2018),2.30 k,0.00 ,Small Cap,91.14
17,- Vesuvius India Ltd. ,Refractories,1.95,4,1.95,0.00,1.35  (Dec 2018),0  (Jul 2018),3.60 k,0.00 ,Small Cap,91.14
18,JM Financial Ltd. ,Stockbroking and allied,1.89,3.9,1.89,-0.36,1.89  (Jun 2019),0  (Jul 2018),50.59 k,0.00 ,Small Cap,91.14
19,India Nippon Electricals Ltd. ,Auto ancillaries,9.88,3.8,1.84,0.01,0.9  (Nov 2018),0  (Jul 2018),9.06 k,0.00 ,Small Cap,91.14
20,Esab India Ltd. ,Electrodes,2.81,3.8,1.84,0.03,1.01  (Jan 2019),0  (Jul 2018),3.29 k,0.00 ,Small Cap,91.14
21,Sundaram-Clayton Ltd. ,Auto ancillaries,9.88,3.8,1.83,-0.14,1.83  (Jun 2019),0  (Jul 2018),1.63 k,0.00 ,Small Cap,91.14
22,Blue Star Ltd. ,Air conditioner,3.77,3.7,1.79,0.01,1.51  (Mar 2019),0  (Jul 2018),4.75 k,0.00 ,Small Cap,91.14
23,Kennametal India Ltd. ,Industrial equipment,3.54,3.7,1.79,0.06,1.64  (Nov 2018),0  (Jul 2018),3.28 k,0.00 ,Small Cap,91.14
24,Arvind Fashions Ltd. ,Industrial equipment,3.54,3.6,1.75,-0.22,1.7  (Apr 2019),0  (Jul 2018),5.28 k,0.00 ,Other,2.77
25,Magma Fincorp Ltd. ,Nbfc,5.45,3.5,1.71,0.06,1.61  (Apr 2019),0  (Jul 2018),26.98 k,0.00 ,Small Cap,91.14
26,INOX Leisure Ltd. ,"Flim production, distribution & exhibition",1.67,3.4,1.67,-0.17,1.32  (Dec 2018),0  (Jul 2018),10.50 k,0.00 ,Small Cap,91.14
27,Rajapalayam Mills Ltd. ,Spinning-cotton/blended,1.64,3.4,1.64,-0.03,1.03  (Jan 2019),0  (Jul 2018),4.17 k,0.00 ,Small Cap,91.14
28,Persistent Systems Ltd. ,Computers - software,3.95,3.2,1.56,0.15,0.93  (Oct 2018),0  (Jul 2018),5.20 k,0.00 ,Small Cap,91.14
29,Heritage Foods (india) Ltd. ,Consumer food,2.44,3.2,1.55,0.50,1.05  (May 2019),0  (Jul 2018),7.84 k,2.36 k,Small Cap,91.14
30,NCC Ltd. ,"Engineering, designing, construction",1.52,3.1,1.52,0.06,1.37  (Jan 2019),0  (Jul 2018),32.07 k,0.00 ,Small Cap,91.14
31,Mahindra Holidays & Resorts India Ltd. ,Hotels/resorts,2.4,3.1,1.52,0.10,0.77  (Apr 2019),0  (Jul 2018),13.43 k,0.00 ,Small Cap,91.14
32,Shanthi Gears Ltd. ,Auto ancillaries,9.88,3.1,1.48,0.06,1.43  (May 2019),0  (Jul 2018),26.41 k,0.00 ,Small Cap,91.14
33,Hikal Ltd. ,Pharmaceuticals,1.48,3,1.48,0.05,1.43  (May 2019),0  (Jul 2018),18.06 k,0.00 ,Small Cap,91.14
34,Timken India Ltd. ,Bearings,1.47,3,1.47,0.17,0.89  (Apr 2019),0  (Jul 2018),4.11 k,0.00 ,Small Cap,91.14
35,Accelya Kale Solutions Limited ,Computers - software,3.95,3,1.47,0.00,0.64  (Oct 2018),0  (Jul 2018),3.50 k,0.00 ,Small Cap,91.14
36,Transport Corporation Of India Ltd. ,Logistics solution provider,2.42,2.9,1.41,0.02,1.25  (Jan 2019),0  (Jul 2018),9.34 k,0.00 ,Small Cap,91.14
37,Ujjivan Small Finance Bank Ltd. ,Banks,1.41,2.9,1.41,-0.24,0.67  (Oct 2018),0  (Jul 2018),9.74 k,0.00 ,Small Cap,91.14
38,Carborundum Universal Ltd. ,Abrasives,4.75,2.7,1.30,-0.01,1.29  (Apr 2019),0  (Jul 2018),7.47 k,0.00 ,Small Cap,91.14
39,Salzer Electronics Ltd. ,Consumer elctronics,1.16,2.4,1.16,-0.04,0.99  (Dec 2018),0  (Jul 2018),19.27 k,0.00 ,Small Cap,91.14
40,Subros Ltd. ,Auto ancillaries,9.88,2.2,1.09,-0.10,1.09  (Jun 2019),0  (Jul 2018),9.51 k,0.00 ,Small Cap,91.14
41,# Ingersoll Rand (india) Ltd. ,Compressors / pumps,3.64,2.2,1.06,1.06,1.06  (Jun 2019),0  (Jul 2018),3.42 k,3.42 k,Small Cap,91.14
42,KPIT Engineering Ltd. ,Auto ancillaries,9.88,2.1,1.02,0.04,0.98  (May 2019),0  (Jul 2018),21.68 k,0.00 ,Other,2.77
43,Redington (India) Ltd. ,Logistics solution provider,2.42,2.1,1.01,-0.30,1.01  (Jun 2019),0  (Jul 2018),19.00 k,-9.06 k,Small Cap,91.14
44,- Muthoot Capital Services Ltd. ,Nbfc,5.45,2,0.99,-0.01,0.72  (Apr 2019),0  (Jul 2018),2.85 k,0.00 ,Small Cap,91.14
45,Himatsingka Seide Ltd. ,Fabrics and garments,5.8,2,0.97,-0.16,0.97  (Jun 2019),0  (Jul 2018),12.37 k,0.00 ,Small Cap,91.14
46,- Ador Welding Ltd. ,Electrodes,2.81,2,0.97,0.00,0.89  (Apr 2019),0  (Jul 2018),5.74 k,0.00 ,Small Cap,91.14
47,Century Plyboards India Ltd. ,Plywood boards,1.65,2,0.95,0.02,0.93  (May 2019),0  (Jul 2018),11.70 k,0.00 ,Small Cap,91.14
48,Take Solutions Ltd. ,Computers - software,3.95,1.9,0.92,-0.15,0.92  (Jun 2019),0  (Jul 2018),15.07 k,0.00 ,Small Cap,91.14
49,Raymond Ltd. ,Fabrics and garments,5.8,1.9,0.91,-0.07,0.91  (Jun 2019),0  (Jul 2018),2.55 k,0.00 ,Small Cap,91.14
50,Agro Tech Foods Ltd. ,Consumer food,2.44,1.8,0.89,-0.01,0.89  (Jun 2019),0  (Jul 2018),3.65 k,0.00 ,Small Cap,91.14
51,Lemon Tree Hotels Ltd. ,Hotels,0.89,1.8,0.89,-0.07,0.58  (Jan 2019),0  (Jul 2018),27.27 k,0.00 ,Small Cap,91.14
52,Khadim India Ltd. ,Leather and leather products,0.88,1.8,0.88,-0.06,0.88  (Jun 2019),0  (Jul 2018),5.95 k,0.00 ,Small Cap,91.14
53,Oriental Hotels Ltd. ,Hotels/resorts,2.4,1.8,0.88,-0.06,0.87  (Mar 2019),0  (Jul 2018),47.43 k,0.00 ,Small Cap,91.14
54,INEOS Styrolution India Ltd. ,Plastic products,0.83,1.7,0.83,-0.01,0.83  (Jun 2019),0  (Jul 2018),3.68 k,0.00 ,Small Cap,91.14
55,Greenlam Industries Ltd. ,Plywood boards,1.65,1.4,0.70,-0.06,0.7  (Jun 2019),0  (Jul 2018),1.87 k,0.00 ,Small Cap,91.14
