,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
15,- ICICI Lombard General Insurance Co Ltd. ,Insurance,5.63,12.2,2.26,0.00,1.72  (Jul 2018),1.72  (Jul 2018),10.95 k,488.00 ,Large Cap,16.93
16,Oberoi Realty Ltd. ,Residential/commercial/sez project,2.22,12,2.22,0.19,1.56  (Aug 2018),1.56  (Aug 2018),19.71 k,0.00 ,Mid Cap,62.66
17,Indraprastha Gas Ltd. ,Lpg/cng/png/lng supplier,2.17,11.7,2.17,-0.13,1.82  (Sep 2018),1.82  (Sep 2018),37.11 k,0.00 ,Mid Cap,62.66
18,EIH Ltd ,Hotels/resorts,2.17,11.7,2.17,0.00,1.9  (Sep 2018),1.9  (Sep 2018),63.75 k,0.00 ,Mid Cap,62.66
19,V-Guard Industries Ltd. ,Industrial electronics,2.15,11.6,2.15,0.03,1.83  (Sep 2018),1.83  (Sep 2018),47.53 k,0.00 ,Small Cap,14.26
20,Aditya Birla Fashion and Retail Ltd. ,Retailing,5.74,11.2,2.08,0.06,1.11  (Aug 2018),0  (Jul 2018),52.11 k,0.00 ,Mid Cap,62.66
21,Redington (India) Ltd. ,Logistics solution provider,2.05,11.1,2.05,0.18,1.51  (Jan 2019),1.51  (Jan 2019),1.02 L,0.00 ,Small Cap,14.26
22,Schaeffler India Ltd. ,Bearings,2.05,11.1,2.05,-0.09,2.05  (Jun 2019),2.05  (Jun 2019),2.26 k,0.00 ,Mid Cap,62.66
23,Bayer Cropscience Ltd. ,Pesticides and agrochemicals,2.03,10.9,2.03,-0.19,2.03  (Jun 2019),2.03  (Jun 2019),3.15 k,0.00 ,Mid Cap,62.66
24,- L&T Technology Services Ltd. ,It enabled services – software,2.02,10.9,2.02,0.00,0.35  (Jul 2018),0.35  (Jul 2018),6.24 k,0.00 ,Mid Cap,62.66
25,Emami Ltd. ,Personal care,1.92,10.4,1.92,0.94,0.98  (May 2019),0.98  (May 2019),34.62 k,19.30 k,Mid Cap,62.66
26,Mahindra & Mahindra Financial Services Ltd. ,Nbfc,12.83,9.5,1.76,-0.13,1.76  (Jun 2019),1.76  (Jun 2019),24.35 k,0.00 ,Mid Cap,62.66
27,L&T Finance Holdings Ltd. ,Investment companies,1.92,9.4,1.75,0.72,1.02  (May 2019),0  (Jul 2018),81.64 k,40.16 k,Mid Cap,62.66
28,Federal Bank Ltd. ,Banks,5.6,9.1,1.70,0.03,1.66  (May 2019),0  (Jul 2018),84.28 k,0.00 ,Mid Cap,62.66
29,LIC Housing Finance Ltd. ,Housing finance,1.68,9,1.68,0.01,1.58  (Sep 2018),0  (Jul 2018),16.27 k,0.00 ,Mid Cap,62.66
30,Max Financial Services Ltd. ,Nbfc,12.83,8.6,1.60,-0.15,1.6  (Jun 2019),1.6  (Jun 2019),21.09 k,0.00 ,Mid Cap,62.66
31,Vardhman Textiles Ltd. ,Spinning-cotton/blended,1.59,8.6,1.59,-0.03,1.59  (Jun 2019),1.59  (Jun 2019),8.06 k,0.00 ,Small Cap,14.26
32,J.K. Cement Ltd. ,Cement,6.1,8.5,1.58,-0.05,1.18  (Oct 2018),1.18  (Oct 2018),8.50 k,0.00 ,Small Cap,14.26
33,GMR Infrastructure Ltd. ,"Engineering, designing, construction",1.55,8.4,1.55,-0.05,1.55  (Jun 2019),1.55  (Jun 2019),5.61 L,0.00 ,Small Cap,14.26
34,WABCO India Ltd. ,Auto ancillaries,3.68,7.8,1.45,-0.02,1.45  (Jun 2019),1.45  (Jun 2019),1.27 k,0.00 ,Mid Cap,62.66
35,Quess Corp Ltd. ,Diversified commercial services,1.35,7.3,1.35,-0.15,1.35  (Jun 2019),1.35  (Jun 2019),12.60 k,0.00 ,Small Cap,14.26
36,Castrol (india) Ltd. ,Lubricants,1.3,7,1.30,-0.13,1.3  (Jun 2019),1.3  (Jun 2019),52.82 k,0.00 ,Mid Cap,62.66
37,Jindal Steel & Power Ltd. ,Steel,1.28,6.9,1.28,-0.15,1.27  (Jan 2019),1.27  (Jan 2019),48.38 k,0.00 ,Mid Cap,62.66
38,JM Financial Ltd. ,Stockbroking and allied,2.07,6.7,1.25,-0.29,0.68  (Oct 2018),0.68  (Oct 2018),87.58 k,0.00 ,Small Cap,14.26
39,Apollo Hospitals Enterprises Ltd. ,Hospital,1.24,6.7,1.24,0.12,0.85  (Jul 2018),0.85  (Jul 2018),4.92 k,0.00 ,Mid Cap,62.66
40,Sundaram-Clayton Ltd. ,Auto ancillaries,3.68,6.5,1.21,-0.14,1.21  (Jun 2019),1.21  (Jun 2019),2.82 k,0.00 ,Small Cap,14.26
41,Motherson Sumi Systems Ltd. ,Auto ancillaries,3.68,5.5,1.02,0.06,0.69  (Apr 2019),0.69  (Apr 2019),45.14 k,0.00 ,Large Cap,16.93
42,Tata Power Co. Ltd. ,Power,1,5.4,1.00,0.01,0.99  (May 2019),0  (Jul 2018),78.02 k,0.00 ,Mid Cap,62.66
43,Karur Vysya Bank Ltd ,Banks,5.6,4,0.73,-0.07,0.73  (Jun 2019),0  (Jul 2018),55.96 k,0.00 ,Small Cap,14.26
44,- ICICI Securities Ltd. ,Stockbroking and allied,2.07,3.6,0.67,0.00,0.66  (Feb 2019),0  (Jul 2018),16.42 k,0.00 ,Small Cap,14.26
45,- IIFL Wealth Management Ltd. ,Investment companies,1.92,0.9,0.17,0.00,0.17  (May 2019),0  (Jul 2018),700.00 ,700.00 ,Other,2.64
46,IIFL Holdings Ltd. ,Stockbroking and allied,2.07,0.7,0.13,-0.04,0.13  (Jun 2019),0  (Jul 2018),4.90 k,0.00 ,Small Cap,14.26
47,- IIFL Securities Ltd. ,Stockbroking and allied,2.07,0.1,0.02,0.00,0.02  (May 2019),0  (Jul 2018),4.90 k,4.90 k,Other,2.64
