,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
32,Muthoot Capital Services Ltd. ,Nbfc,2.83,15.3,1.33,-0.01,0.97  (Apr 2019),0  (Jul 2018),21.57 k,0.00 ,Small Cap,91.66
33,Ingersoll Rand (india) Ltd. ,Compressors / pumps,1.32,15.2,1.32,0.27,0.49  (Jul 2018),0.49  (Jul 2018),23.98 k,4.40 k,Small Cap,91.66
34,Arvind Fashions Ltd. ,Industrial equipment,3.09,14.9,1.29,0.11,1.1  (Apr 2019),0  (Jul 2018),21.87 k,4.00 k,Other,4.1
35,GNA Axles Ltd. ,Auto ancillaries,7.17,13.4,1.17,-0.06,1.17  (Jun 2019),1.17  (Jun 2019),49.33 k,0.00 ,Small Cap,91.66
36,Century Plyboards India Ltd. ,Plywood boards,1.14,13.1,1.14,0.03,0.9  (Jul 2018),0.9  (Jul 2018),77.99 k,0.00 ,Small Cap,91.66
37,L G Balakrishnan & Bros Ltd. ,Auto ancillaries,7.17,13,1.13,-0.05,1.13  (Jun 2019),1.13  (Jun 2019),38.05 k,0.00 ,Small Cap,91.66
38,Indian Terrain Fashions Ltd. ,Fabrics and garments,3.44,12.6,1.10,-0.01,1.1  (Jun 2019),1.1  (Jun 2019),1.20 L,0.00 ,Small Cap,91.66
39,Capacite Infraprojects Ltd. ,Residential/commercial/sez project,2.91,12.3,1.07,0.05,0.77  (Oct 2018),0.77  (Oct 2018),45.31 k,0.00 ,Small Cap,91.66
40,Magma Fincorp Ltd. ,Nbfc,2.83,12.2,1.06,0.04,1.02  (May 2019),0  (Jul 2018),94.22 k,0.00 ,Small Cap,91.66
41,Taj GVK Hotels & Resorts Ltd. ,Hotels/resorts,2.77,12.2,1.06,-0.05,0.94  (Sep 2018),0.94  (Sep 2018),64.79 k,0.00 ,Small Cap,91.66
42,KPIT Engineering Ltd. ,Auto ancillaries,7.17,11.6,1.01,0.04,0.97  (May 2019),0  (Jul 2018),1.20 L,0.00 ,Other,4.1
43,HSIL Ltd. ,Glass – consumer,0.98,11.3,0.98,-0.05,0.78  (Nov 2018),0.78  (Nov 2018),44.00 k,0.00 ,Small Cap,91.66
44,- Accelya Kale Solutions Limited ,Computers - software,0.95,11,0.95,0.01,0.94  (Mar 2019),0  (Jul 2018),12.70 k,0.00 ,Small Cap,91.66
45,DCB Bank Ltd. ,Banks,3.12,10.7,0.93,0.06,0.55  (Jul 2018),0.55  (Jul 2018),45.09 k,0.00 ,Small Cap,91.66
46,Cyient Ltd. ,It enabled services – software,0.92,10.6,0.92,0.01,0.91  (May 2019),0.91  (May 2019),19.59 k,0.00 ,Small Cap,91.66
47,Dollar Industries Ltd. ,Fabrics and garments,3.44,10.3,0.89,0.06,0.83  (May 2019),0.83  (May 2019),40.09 k,0.00 ,Small Cap,91.66
48,PTC India Ltd. ,Power trading,0.86,9.9,0.86,0.02,0.84  (May 2019),0  (Jul 2018),1.47 L,0.00 ,Small Cap,91.66
49,Premier Explosives Ltd. ,Explosives,0.84,9.7,0.84,-0.01,0.57  (Sep 2018),0.57  (Sep 2018),48.95 k,0.00 ,Small Cap,91.66
50,TD Power Systems Ltd. ,Power equipment,1.66,9.7,0.84,0.04,0.58  (Aug 2018),0.58  (Aug 2018),63.14 k,0.00 ,Small Cap,91.66
51,Triveni Turbine Ltd. ,Power equipment,1.66,9.4,0.82,0.00,0.77  (Jul 2018),0.77  (Jul 2018),90.35 k,0.00 ,Small Cap,91.66
52,Khadim India Ltd. ,Leather and leather products,0.77,8.8,0.77,-0.05,0.77  (Jun 2019),0.77  (Jun 2019),28.88 k,0.00 ,Small Cap,91.66
53,INEOS Styrolution India Ltd. ,Plastic products,0.65,7.5,0.65,-0.01,0.65  (Jun 2019),0.65  (Jun 2019),16.13 k,0.00 ,Small Cap,91.66
54,Force Motors Ltd. ,Commercial vehicles,0.64,7.3,0.64,-0.03,0.64  (Jun 2019),0.64  (Jun 2019),5.18 k,0.00 ,Small Cap,91.66
55,R.P.P. Infra Projects Ltd. ,Construction civil,0.52,6,0.52,-0.07,0.51  (Feb 2019),0.51  (Feb 2019),56.01 k,0.00 ,Small Cap,91.66
56,CL Educate Ltd. ,Education,0.51,5.9,0.51,-0.01,0.49  (Nov 2018),0.49  (Nov 2018),56.59 k,0.00 ,Small Cap,91.66
57,Indostar Capital Finance Private Ltd. ,Nbfc,2.83,4.9,0.42,-0.01,0.35  (Oct 2018),0.35  (Oct 2018),13.36 k,0.00 ,Small Cap,91.66
58,S Chand And Company Ltd. ,Printing and publishing,1.96,2.9,0.25,-0.05,0.25  (Jun 2019),0.25  (Jun 2019),32.89 k,0.00 ,Small Cap,91.66
59,Mcleod Russel (India) Ltd. ,Tea &  coffee,0.21,2.4,0.21,-0.19,0.21  (Jun 2019),0.21  (Jun 2019),1.46 L,0.00 ,Small Cap,91.66
60,Prabhat Dairy Ltd. ,Consumer food,1.75,2.2,0.19,-0.02,0.18  (Feb 2019),0.18  (Feb 2019),38.00 k,0.00 ,Small Cap,91.66
61,- CreditAccess Grameen Ltd. ,Nbfc,2.83,0.3,0.02,0.00,0.02  (May 2019),0  (Jul 2018),521.00 ,0.00 ,Small Cap,91.66
62,# JM Financial Ltd. ,Stockbroking and allied,0.01,0.2,0.01,0.01,0.01  (Jun 2019),0  (Jul 2018),2.10 k,2.10 k,Small Cap,91.66
