,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
34,Chennai Petroleum Corporation Ltd ,Refineries/marketing,1.32,312.2,1.32,-0.01,1.32  (Jun 2019),1.32  (Jun 2019),15.00 L,0.00 ,Small Cap,79.59
35,Sandhar Technologies Ltd. ,Auto ancillaries,5.36,296.7,1.25,-0.01,0.79  (Jan 2019),0.79  (Jan 2019),10.53 L,0.00 ,Small Cap,79.59
36,Apar Industries Ltd. ,Power equipment,2.03,289.1,1.22,-0.12,1.22  (Jun 2019),1.22  (Jun 2019),5.00 L,0.00 ,Small Cap,79.59
37,J.K. Cement Ltd. ,Cement,3.56,287.4,1.21,0.01,0.86  (Dec 2018),0.86  (Dec 2018),2.87 L,0.00 ,Small Cap,79.59
38,Gujarat Narmada Valley Fertilisers Chemicals. Ltd. ,Chemicals - organic,2.03,268.9,1.14,-0.22,1.14  (Jun 2019),1.14  (Jun 2019),11.50 L,0.00 ,Small Cap,79.59
39,Nitin Spinners Ltd. ,Spinning-cotton/blended,1.08,256.3,1.08,-0.11,1.08  (Jun 2019),1.08  (Jun 2019),35.90 L,0.00 ,Small Cap,79.59
40,Finolex Cables Ltd. ,Cables - electricals,1.07,253.2,1.07,0.02,1.05  (May 2019),0  (Jul 2018),5.75 L,0.00 ,Small Cap,79.59
41,Indostar Capital Finance Private Ltd. ,Nbfc,3.39,252.9,1.07,-0.03,0.67  (Oct 2018),0.67  (Oct 2018),6.93 L,0.00 ,Small Cap,79.59
42,Metropolis Healthcare Ltd. ,Healthcare service providers ,1.06,250.9,1.06,0.06,1  (May 2019),0  (Jul 2018),2.58 L,0.00 ,Other,1.48
43,Tejas Networks Ltd. ,Telecom - cables,0.99,235.4,0.99,-0.25,0.99  (Jun 2019),0  (Jul 2018),16.50 L,0.00 ,Small Cap,79.59
44,Atul Auto Ltd. ,Commercial vehicles,0.96,226.2,0.96,-0.11,0.96  (Jun 2019),0.96  (Jun 2019),8.41 L,0.00 ,Small Cap,79.59
45,V.I.P. Industries Ltd ,Plastic products - consumer,0.94,222.8,0.94,0.06,0.88  (May 2019),0.88  (May 2019),5.00 L,0.00 ,Small Cap,79.59
46,I G Petrochemicals Ltd. ,Chemicals - organic,2.03,211.5,0.89,-0.05,0.89  (Jun 2019),0  (Jul 2018),8.18 L,0.00 ,Small Cap,79.59
47,Mahindra Logistics Ltd. ,Logistics solution provider,2.54,207.8,0.88,-0.01,0.88  (Jun 2019),0.88  (Jun 2019),4.30 L,0.00 ,Small Cap,79.59
48,Sanghi Industries Ltd. ,Cement,3.56,205.3,0.87,-0.06,0.82  (Mar 2019),0.82  (Mar 2019),33.00 L,0.00 ,Small Cap,79.59
49,Multi Commodity Exchange Of India Ltd. ,Other financial services,3.21,199.6,0.84,0.06,0.78  (May 2019),0  (Jul 2018),2.40 L,0.00 ,Small Cap,79.59
50,HSIL Ltd. ,Glass – consumer,0.84,199.6,0.84,-0.04,0.76  (Nov 2018),0.76  (Nov 2018),7.77 L,0.00 ,Small Cap,79.59
51,CG Power and Industrial Solutions Ltd. ,Power equipment,2.03,191.2,0.81,-0.15,0.81  (Jun 2019),0.81  (Jun 2019),66.98 L,0.00 ,Small Cap,79.59
52,Delta Corp Ltd. ,Other recreational activities,0.72,171,0.72,-0.09,0.72  (Jun 2019),0.72  (Jun 2019),10.00 L,0.00 ,Small Cap,79.59
53,Cadila Healthcare Ltd. ,Pharmaceuticals,2.55,145,0.61,0.01,0.6  (May 2019),0  (Jul 2018),6.00 L,0.00 ,Mid Cap,10.48
54,Carborundum Universal Ltd. ,Abrasives,0.5,118.8,0.50,-0.22,0.5  (Jun 2019),0.5  (Jun 2019),3.33 L,-1.47 L,Small Cap,79.59
55,# Indiamart Intermesh Ltd. ,Retailing,0.42,100,0.42,0.42,0.42  (Jun 2019),0  (Jul 2018),1.03 L,1.03 L,Other,1.48
56,Reliance Home Finance Pvt. Ltd. ,Housing finance,1.77,94.4,0.40,-0.31,0.4  (Jun 2019),0.4  (Jun 2019),80.00 L,0.00 ,Small Cap,79.59
57,S Chand And Company Ltd. ,Printing and publishing,0.39,93,0.39,-0.09,0.39  (Jun 2019),0.39  (Jun 2019),10.65 L,-0.25 L,Small Cap,79.59
58,# Pennar Industries Ltd. ,Steel products,0.3,72,0.30,0.30,0.3  (Jun 2019),0  (Jul 2018),21.78 L,21.78 L,Small Cap,79.59
