,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
19,HSIL Ltd. ,Glass – consumer,2.11,242.4,2.11,-0.13,1.87  (Nov 2018),1.87  (Nov 2018),9.44 L,0.00 ,Small Cap,90.8
20,India Cements Ltd. ,Cement,9.37,223.7,1.94,-0.04,1.82  (Jan 2019),1.82  (Jan 2019),22.42 L,0.00 ,Small Cap,90.8
21,Magma Fincorp Ltd. ,Nbfc,1.94,223.5,1.94,0.06,1.62  (Jan 2019),1.62  (Jan 2019),17.20 L,0.00 ,Small Cap,90.8
22,Taj GVK Hotels & Resorts Ltd. ,Hotels/resorts,1.9,218.5,1.90,-0.11,1.88  (Dec 2018),1.88  (Dec 2018),11.64 L,0.00 ,Small Cap,90.8
23,I T D Cementation India Ltd. ,Construction civil,4.68,211.9,1.84,-0.09,1.84  (Jun 2019),1.84  (Jun 2019),20.00 L,0.00 ,Small Cap,90.8
24,L G Balakrishnan & Bros Ltd. ,Auto ancillaries,7.41,208.4,1.81,-0.09,1.81  (Jun 2019),1.81  (Jun 2019),6.11 L,0.00 ,Small Cap,90.8
25,- Amrutanjan Health Care Ltd. ,Pharmaceuticals,2.78,207.3,1.80,0.00,1.59  (Jul 2018),1.59  (Jul 2018),6.90 L,0.00 ,Small Cap,90.8
26,Himatsingka Seide Ltd. ,Fabrics and garments,2.73,204.4,1.78,-0.05,1.73  (Feb 2019),1.73  (Feb 2019),12.62 L,1.58 L,Small Cap,90.8
27,Century Plyboards India Ltd. ,Plywood boards,1.69,194,1.69,0.03,1.65  (May 2019),1.65  (May 2019),11.59 L,0.00 ,Small Cap,90.8
28,Take Solutions Ltd. ,Computers - software,1.53,176.3,1.53,-0.26,1.53  (Jun 2019),1.53  (Jun 2019),14.09 L,0.00 ,Small Cap,90.8
29,M M Forgings Ltd. ,Castings/forgings,1.5,172.7,1.50,-0.03,1.13  (Jul 2018),1.13  (Jul 2018),3.51 L,0.00 ,Small Cap,90.8
30,TD Power Systems Ltd. ,Power equipment,1.5,172.5,1.50,0.06,1.12  (Mar 2019),1.12  (Mar 2019),11.26 L,0.00 ,Small Cap,90.8
31,Capacite Infraprojects Ltd. ,Residential/commercial/sez project,3.6,170.8,1.48,0.06,1.2  (Mar 2019),1.2  (Mar 2019),6.29 L,0.00 ,Small Cap,90.8
32,Ksb Pumps Ltd. ,Compressors / pumps,1.43,164.6,1.43,0.12,1.31  (May 2019),1.31  (May 2019),2.30 L,0.00 ,Small Cap,90.8
33,Arvind Fashions Ltd. ,Industrial equipment,3.4,140.9,1.22,-0.11,1.1  (Mar 2019),0  (Jul 2018),2.07 L,7.59 k,Other,5.92
34,Healthcare Global Enterprises Ltd. ,Hospital,1.13,129.7,1.13,-0.18,1.06  (Sep 2018),1.06  (Sep 2018),8.27 L,0.00 ,Small Cap,90.8
35,Metropolis Healthcare Ltd. ,Healthcare service providers ,3.76,126,1.09,0.05,1.05  (May 2019),0  (Jul 2018),1.30 L,0.00 ,Other,5.92
36,Star Cement Ltd. ,Cement products,3.19,122.2,1.06,0.05,0.83  (Mar 2019),0.83  (Mar 2019),10.00 L,0.00 ,Small Cap,90.8
37,- Johnson Controls-Hitachi Air Conditioning India Ltd. ,Air conditioner,1.06,121.8,1.06,0.00,0.19  (Aug 2018),0  (Jul 2018),68.77 k,0.00 ,Small Cap,90.8
38,- Astra Microwave Products Ltd. ,Telecom -  equipment,0.99,113.6,0.99,0.00,0.96  (Dec 2018),0.96  (Dec 2018),13.49 L,0.00 ,Small Cap,90.8
39,Laurus Labs Ltd. ,Pharmaceuticals,2.78,112.6,0.98,0.01,0.97  (May 2019),0  (Jul 2018),3.35 L,12.42 k,Small Cap,90.8
40,Raymond Ltd. ,Fabrics and garments,2.73,108.9,0.95,-0.08,0.95  (Jun 2019),0.95  (Jun 2019),1.49 L,0.00 ,Small Cap,90.8
41,Lemon Tree Hotels Ltd. ,Hotels,0.93,107.6,0.93,-0.08,0.39  (Jan 2019),0  (Jul 2018),16.09 L,0.00 ,Small Cap,90.8
42,Redington (India) Ltd. ,Logistics solution provider,0.85,98.1,0.85,0.10,0.69  (Jan 2019),0.69  (Jan 2019),9.00 L,0.00 ,Small Cap,90.8
43,Sandhar Technologies Ltd. ,Auto ancillaries,7.41,94.4,0.82,-0.02,0.74  (Mar 2019),0.74  (Mar 2019),3.35 L,0.00 ,Small Cap,90.8
44,VA Tech Wabag Ltd. ,"Engineering, designing, construction",6.61,92.8,0.81,0.01,0.69  (Dec 2018),0.69  (Dec 2018),3.00 L,0.00 ,Small Cap,90.8
45,Asian Granito India Ltd. ,Sanitary ware,0.8,92.3,0.80,0.02,0.56  (Jan 2019),0.56  (Jan 2019),3.68 L,0.00 ,Small Cap,90.8
46,Neogen Chemicals Ltd. ,Chemicals - speciality,0.75,86,0.75,0.14,0.43  (Apr 2019),0  (Jul 2018),2.39 L,0.00 ,Other,5.92
47,KPIT Engineering Ltd. ,Auto ancillaries,7.41,78.6,0.68,0.02,0.63  (Apr 2019),0  (Jul 2018),8.13 L,0.00 ,Other,5.92
48,Khadim India Ltd. ,Leather and leather products,0.68,77.8,0.68,-0.05,0.68  (Jun 2019),0.68  (Jun 2019),2.55 L,0.00 ,Small Cap,90.8
49,Butterfly Gandhimathi Appliances Ltd. ,Home appliances,0.63,72,0.63,-0.02,0.63  (Jun 2019),0.63  (Jun 2019),4.15 L,0.00 ,Small Cap,90.8
50,- Hindustan Dorr-Oliver Ltd. ,"Engineering, designing, construction",6.61,0,0.00,0.00,0  (Mar 2019),0  (Jul 2018),3.76 L,0.00 ,Small Cap,90.8
