,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
25,Mahindra & Mahindra Financial Services Ltd. ,Nbfc,10.02,7,1.92,0.04,1.88  (Apr 2019),1.88  (Apr 2019),16.65 k,0.00 ,Mid Cap,65.26
26,LIC Housing Finance Ltd. ,Housing finance,1.66,6.1,1.66,-0.13,1.6  (Sep 2018),0  (Jun 2018),10.91 k,-1.89 k,Mid Cap,65.26
27,# Federal Bank Ltd. ,Banks,7.07,6.1,1.66,1.66,1.66  (May 2019),0  (Jun 2018),56.60 k,56.60 k,Mid Cap,65.26
28,Castrol (india) Ltd. ,Lubricants,1.58,5.8,1.58,-0.11,1.58  (May 2019),1.58  (May 2019),39.42 k,0.00 ,Mid Cap,65.26
29,GMR Infrastructure Ltd. ,"Engineering, designing, construction",1.57,5.8,1.57,-0.17,1.57  (May 2019),1.57  (May 2019),3.72 L,0.00 ,Small Cap,14.95
30,JM Financial Ltd. ,Stockbroking and allied,2.84,5.7,1.56,0.07,1.38  (Oct 2018),1.38  (Oct 2018),60.00 k,0.00 ,Small Cap,14.95
31,Bank Of Baroda ,Banks,7.07,5.7,1.55,0.15,1.4  (Apr 2019),0  (Jun 2018),42.70 k,0.00 ,Large Cap,14.12
32,Vardhman Textiles Ltd. ,Spinning-cotton/blended,1.48,5.4,1.48,-0.10,1.43  (Aug 2018),1.43  (Aug 2018),4.98 k,0.00 ,Small Cap,14.95
33,WABCO India Ltd. ,Auto ancillaries,3.78,5.4,1.47,-0.04,1.47  (May 2019),1.47  (May 2019),859.00 ,0.00 ,Mid Cap,65.26
34,Jindal Steel & Power Ltd. ,Steel,1.43,5.2,1.43,-0.09,1.23  (Jan 2019),1.23  (Jan 2019),32.65 k,2.40 k,Mid Cap,65.26
35,J.K. Cement Ltd. ,Cement,6.25,5,1.37,0.15,0.99  (Oct 2018),0  (Jun 2018),4.83 k,0.00 ,Small Cap,14.95
36,Sundaram-Clayton Ltd. ,Auto ancillaries,3.78,4.9,1.35,-0.16,1.35  (May 2019),1.35  (May 2019),1.90 k,0.00 ,Small Cap,14.95
37,# L&T Finance Holdings Ltd. ,Investment companies,1.55,3.7,1.02,1.02,1.02  (May 2019),0  (Jun 2018),27.91 k,27.91 k,Mid Cap,65.26
38,# Tata Power Co. Ltd. ,Power,0.98,3.6,0.98,0.98,0.98  (May 2019),0  (Jun 2018),52.45 k,52.45 k,Mid Cap,65.26
39,Motherson Sumi Systems Ltd. ,Auto ancillaries,3.78,3.5,0.96,0.31,0.65  (Apr 2019),0.65  (Apr 2019),30.54 k,14.80 k,Large Cap,14.12
40,# Schaeffler India Ltd. ,Bearings,0.96,3.5,0.96,0.96,0.96  (May 2019),0  (Jun 2018),684.00 ,684.00 ,Mid Cap,65.26
41,Emami Ltd. ,Personal care,0.95,3.5,0.95,-0.43,0.95  (May 2019),0.95  (May 2019),10.03 k,-2.66 k,Mid Cap,65.26
42,Karur Vysya Bank Ltd ,Banks,7.07,3,0.81,-0.02,0.76  (Mar 2019),0  (Jun 2018),38.01 k,0.00 ,Small Cap,14.95
43,ICICI Securities Ltd. ,Stockbroking and allied,2.84,2.5,0.68,-0.02,0.68  (May 2019),0  (Jun 2018),11.31 k,0.00 ,Small Cap,14.95
44,# IIFL Wealth Management Ltd. ,Investment companies,1.55,1.9,0.53,0.53,0.53  (May 2019),0  (Jun 2018),1.45 k,1.45 k,Other,0.61
45,IIFL Holdings Ltd. ,Stockbroking and allied,2.84,1.9,0.52,-0.71,0.52  (May 2019),0.52  (May 2019),10.14 k,0.00 ,Mid Cap,65.26
46,# IIFL Securities Ltd. ,Stockbroking and allied,2.84,0.3,0.08,0.08,0.08  (May 2019),0  (Jun 2018),10.14 k,10.14 k,Other,0.61
