,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
15,AIA Engineering Ltd. ,Castings/forgings,3.78,1019.9,1.68,0.03,1.65  (May 2019),1.65  (May 2019),5.69 L,0.00 ,Mid Cap,20.85
16,Sunteck Realty Ltd. ,Residential/commercial/sez project,4.61,999.4,1.64,-0.11,0.84  (Apr 2019),0  (Jul 2018),22.96 L,1.25 L,Small Cap,66.09
17,Future Supply Chain Solutions Ltd. ,Logistics solution provider,1.6,959.8,1.58,-0.16,1.58  (Jun 2019),1.58  (Apr 2019),16.77 L,0.00 ,Small Cap,66.09
18,Finolex Industries Ltd. ,Plastic products,3.18,929.2,1.53,0.09,1.37  (Mar 2019),1.37  (Mar 2019),18.33 L,33.56 k,Small Cap,66.09
19,ISGEC Heavy Engineering Ltd. ,Industrial equipment,4.08,895.7,1.47,-0.07,0.96  (Mar 2019),0  (Jul 2018),19.74 L,49.00 k,Other,2.61
20,Sharda Cropchem Ltd. ,Pesticides and agrochemicals,1.47,894.7,1.47,-0.16,1.19  (Dec 2018),1.19  (Dec 2018),28.45 L,0.00 ,Small Cap,66.09
21,Maharashtra Seamless Ltd. ,Steel products,2.13,865.3,1.42,-0.06,1.42  (Jun 2019),1.42  (Jun 2019),20.21 L,0.00 ,Small Cap,66.09
22,EIH Ltd ,Hotels/resorts,1.42,864.9,1.42,0.01,1.41  (May 2019),1.41  (May 2019),47.27 L,0.00 ,Mid Cap,20.85
23,Care Ratings Ltd. ,Ratings,1.38,841.4,1.38,-0.02,1.38  (Jun 2019),1.38  (Jun 2019),8.92 L,0.00 ,Small Cap,66.09
24,Lakshmi Machine Works Ltd. ,Textile machinery,1.34,813.7,1.34,-0.08,1.34  (Jun 2019),1.34  (Jun 2019),1.57 L,0.00 ,Small Cap,66.09
25,Supreme Industries Ltd. ,Plastic products,3.18,795.6,1.31,0.10,1.21  (May 2019),1.21  (May 2019),6.94 L,0.00 ,Mid Cap,20.85
26,City Union Bank Ltd. ,Banks,6.74,785.8,1.29,0.15,0.8  (Nov 2018),0.8  (Nov 2018),36.04 L,2.84 L,Mid Cap,20.85
27,Trent Limited ,Retailing,6.23,773.9,1.27,0.16,1.03  (Mar 2019),1.03  (Feb 2019),17.55 L,0.00 ,Mid Cap,20.85
28,- Vst Industries Ltd. ,Cigarettes,1.18,714.7,1.18,0.00,0.23  (Jan 2019),0  (Jul 2018),2.08 L,6.46 k,Small Cap,66.09
29,Amara Raja Batteries Limited ,Batteries – automobile,1.15,702.2,1.15,0.09,1.04  (Mar 2019),1.04  (Mar 2019),11.33 L,1.00 L,Mid Cap,20.85
30,Polycab India Limited ,Cables - electricals,2.22,691.4,1.14,0.04,1.1  (May 2019),0  (Jul 2018),11.11 L,0.00 ,Other,2.61
31,Prism Johnson Ltd. ,Sanitary ware,3.47,689.3,1.13,-0.06,0.9  (Jan 2019),0.9  (Jan 2019),76.04 L,0.00 ,Small Cap,66.09
32,Syndicate Bank ,Banks,6.74,681.6,1.12,0.19,0.73  (Sep 2018),0.73  (Sep 2018),1.63 Cr,0.00 ,Small Cap,66.09
33,Triveni Turbine Ltd. ,Power equipment,2.19,680.8,1.12,-0.03,0.93  (Oct 2018),0.93  (Oct 2018),65.58 L,0.00 ,Small Cap,66.09
34,Akzo Nobel India Ltd. ,Paints,1.1,667.7,1.10,0.14,0.51  (Nov 2018),0.51  (Nov 2018),3.72 L,28.91 k,Small Cap,66.09
35,Orient Refractories Ltd. ,Castings/forgings,3.78,663.1,1.09,-0.10,1.09  (Jun 2019),0  (Jul 2018),32.64 L,0.00 ,Small Cap,66.09
36,Finolex Cables Ltd. ,Cables - electricals,2.22,655.7,1.08,0.04,0.64  (Feb 2019),0  (Jul 2018),14.89 L,76.85 k,Small Cap,66.09
37,Apar Industries Ltd. ,Power equipment,2.19,652.1,1.07,-0.15,0.93  (Aug 2018),0.93  (Aug 2018),11.28 L,2.00 k,Small Cap,66.09
38,Sonata Software Ltd. ,Computers - software,3.22,644.6,1.06,-0.01,0.3  (Jul 2018),0.3  (Jul 2018),18.45 L,0.00 ,Small Cap,66.09
39,Carborundum Universal Ltd. ,Abrasives,3.28,625.4,1.03,-0.04,1.03  (Jun 2019),1.03  (Jun 2019),17.51 L,0.00 ,Small Cap,66.09
40,Cera Sanitaryware Ltd. ,Sanitary ware,3.47,621.4,1.02,0.07,0.26  (Mar 2019),0  (Jul 2018),2.08 L,13.33 k,Small Cap,66.09
41,M M Forgings Ltd. ,Castings/forgings,3.78,612.1,1.01,-0.16,1.01  (Jun 2019),1.01  (Jun 2019),12.44 L,-1.50 L,Small Cap,66.09
42,# Atul Ltd. ,Chemicals - speciality,1.31,573.9,0.94,0.94,0.94  (Jun 2019),0  (Jul 2018),1.44 L,1.44 L,Mid Cap,20.85
43,Shoppers Stop Limited ,Retailing,6.23,556.3,0.92,-0.02,0.92  (Jun 2019),0.92  (Jun 2019),11.43 L,-0.41 L,Small Cap,66.09
44,Varroc Engineering Pvt Ltd. ,Auto ancillaries,4.06,553.6,0.91,-0.02,0.82  (Feb 2019),0.82  (Feb 2019),11.67 L,50.12 k,Small Cap,66.09
45,# Emami Ltd. ,Personal care,0.91,553.3,0.91,0.91,0.91  (Jun 2019),0  (Jul 2018),18.50 L,18.50 L,Mid Cap,20.85
46,Somany Ceramics Ltd. ,Sanitary ware,3.47,539,0.89,0.04,0.36  (Nov 2018),0.36  (Nov 2018),12.22 L,33.38 k,Small Cap,66.09
47,Prestige Estates Projects Ltd. ,Residential/commercial/sez project,4.61,531,0.87,-0.58,0.61  (Jan 2019),0  (Jul 2018),19.50 L,-0.12 Cr,Mid Cap,20.85
48,Indian Bank ,Banks,6.74,525.4,0.86,-0.05,0.82  (Feb 2019),0.82  (Feb 2019),20.22 L,0.00 ,Mid Cap,20.85
49,Greaves Cotton Ltd. ,Diesel engines,1.37,520.8,0.86,0.06,0.71  (Dec 2018),0.71  (Dec 2018),35.84 L,2.00 L,Small Cap,66.09
50,Sterling Tools Ltd. ,Fastener,0.85,515.1,0.85,-0.07,0.85  (Jun 2019),0.85  (Jun 2019),24.54 L,0.00 ,Small Cap,66.09
51,South Indian Bank Ltd. ,Banks,6.74,493.6,0.81,-0.06,0.73  (Mar 2019),0  (Jul 2018),3.80 Cr,0.00 ,Small Cap,66.09
52,HG Infra Engineering Ltd. ,"Engineering, designing, construction",2.53,477.3,0.79,-0.01,0.58  (Feb 2019),0.58  (Feb 2019),16.73 L,20.17 k,Small Cap,66.09
53,Jamna Auto Inds. Ltd. ,Auto ancillaries,4.06,460.5,0.76,-0.05,0.76  (Jun 2019),0.76  (Jun 2019),87.30 L,0.00 ,Small Cap,66.09
54,Central Depository Services (India) Ltd. ,Capital markets,0.75,454.8,0.75,-0.01,0.75  (Jun 2019),0.75  (Jun 2019),20.65 L,0.00 ,Small Cap,66.09
55,Tvs Srichakra Ltd. ,Tyres & allied,0.75,453.5,0.75,-0.04,0.75  (Jun 2019),0.75  (Jun 2019),2.40 L,0.00 ,Small Cap,66.09
56,- Ipca Laboratories Ltd. ,Pharmaceuticals,4.66,450,0.74,0.00,0.74  (Jun 2019),0.74  (Jun 2019),4.90 L,0.00 ,Mid Cap,20.85
57,ICICI Securities Ltd. ,Stockbroking and allied,0.71,433.2,0.71,0.02,0.69  (Feb 2019),0  (Jul 2018),19.69 L,50.00 k,Small Cap,66.09
58,Rane Holdings Ltd. ,Investment companies,0.71,432.6,0.71,-0.10,0.71  (Jun 2019),0.71  (Jun 2019),4.10 L,0.00 ,Small Cap,66.09
59,Ratnamani Metals & Tubes Ltd. ,Steel products,2.13,428.9,0.71,0.05,0.64  (Apr 2019),0.64  (Mar 2019),4.32 L,0.00 ,Small Cap,66.09
60,Savita Oil Technologies Ltd. ,Lubricants,0.65,397.3,0.65,-0.17,0.65  (Nov 2018),0.65  (Nov 2018),3.84 L,5.00 k,Small Cap,66.09
61,IFGL Refractories Limited ,Refractories,0.65,396,0.65,-0.06,0.6  (Jul 2018),0.6  (Jul 2018),20.72 L,4.97 k,Small Cap,66.09
62,Supreme Petrochem Ltd. ,Petrochemicals,0.64,388.4,0.64,-0.06,0.63  (Jan 2019),0.63  (Jan 2019),19.09 L,0.00 ,Small Cap,66.09
63,Simran Wind Project Private Ltd. ,Power,0.63,382.9,0.63,0.26,0.36  (Apr 2019),0  (Jul 2018),14.23 L,5.13 L,Small Cap,66.09
64,Aegis Logistics Ltd. ,Lpg/cng/png/lng supplier,2.64,369.8,0.61,-0.01,0.55  (Apr 2019),0.55  (Apr 2019),18.54 L,1.59 L,Small Cap,66.09
65,Bank Of Baroda ,Banks,6.74,344.2,0.57,-0.09,0.57  (Jun 2019),0  (Jul 2018),28.31 L,-2.17 L,Large Cap,0.57
66,Orient Electric Ltd. ,Home appliances,0.99,343.6,0.57,-0.01,0.57  (Jun 2019),0.57  (Jun 2019),21.58 L,0.00 ,Small Cap,66.09
67,Sudarshan Chemical Industries Ltd. ,Dyes and pigments,0.72,327,0.54,-0.01,0.54  (Jun 2019),0.54  (Jun 2019),10.23 L,0.00 ,Small Cap,66.09
68,Swaraj Engines Ltd. ,Diesel engines,1.37,311.6,0.51,0.01,0.5  (May 2019),0.5  (May 2019),2.22 L,0.00 ,Small Cap,66.09
69,Emami Paper Mills Ltd. ,Paper and paper products,0.48,288.8,0.48,-0.17,0.48  (Jun 2019),0.48  (Jun 2019),26.26 L,0.00 ,Small Cap,66.09
70,- Oriental Carbon and Chemicals Ltd. ,Chemicals - inorganic,0.47,285.5,0.47,0.00,0.29  (Aug 2018),0.29  (Aug 2018),2.47 L,0.00 ,Small Cap,66.09
71,Kajaria Ceramics Ltd. ,Sanitary ware,3.47,263,0.43,-0.04,0.18  (Jan 2019),0  (Jul 2018),4.52 L,0.00 ,Small Cap,66.09
72,Orient Paper & Industries Ltd. ,Home appliances,0.99,257.3,0.42,-0.06,0.42  (Jun 2019),0.42  (Jun 2019),89.80 L,0.00 ,Small Cap,66.09
73,Nocil Ltd. ,Chemicals - speciality,1.31,227.5,0.37,-0.10,0.37  (Jun 2019),0.37  (Jun 2019),19.36 L,-2.02 L,Small Cap,66.09
74,Rico Auto Industries Ltd. ,Auto ancillaries,4.06,214.2,0.35,-0.04,0.35  (Jun 2019),0.35  (Jun 2019),35.73 L,0.00 ,Small Cap,66.09
75,Dollar Industries Ltd. ,Fabrics and garments,4.64,210.3,0.35,0.02,0.33  (May 2019),0.33  (May 2019),8.22 L,0.00 ,Small Cap,66.09
76,Wim Plast Ltd. ,Plastic products,3.18,203.8,0.34,-0.03,0.34  (Jun 2019),0.34  (Jun 2019),4.37 L,0.00 ,Small Cap,66.09
77,Nitin Spinners Ltd. ,Spinning-cotton/blended,0.59,199.4,0.33,-0.04,0.33  (Jun 2019),0.33  (Jun 2019),27.92 L,0.00 ,Small Cap,66.09
78,Skipper Ltd. ,Industrial equipment,4.08,192.1,0.32,0.13,0.19  (May 2019),0.19  (May 2019),32.39 L,13.46 L,Small Cap,66.09
79,Gokaldas Exports Ltd. ,Fabrics and garments,4.64,163.3,0.27,-0.03,0.23  (Jan 2019),0.23  (Feb 2019),17.33 L,0.00 ,Small Cap,66.09
80,RSWM Ltd. ,Spinning-cotton/blended,0.59,158.5,0.26,-0.01,0.26  (Jun 2019),0.26  (Jun 2019),10.48 L,0.00 ,Small Cap,66.09
81,VST Tillers Tractors Ltd. ,Tractors,0.26,156.6,0.26,-0.01,0.26  (Jun 2019),0.26  (Jun 2019),1.21 L,-0.10 L,Small Cap,66.09
82,AksharChem India Ltd. ,Dyes and pigments,0.72,109.6,0.18,-0.02,0.18  (Jun 2019),0.18  (Jun 2019),3.84 L,5.00 k,Small Cap,66.09
83,- Deccan Cements Ltd. ,Cement,2.38,102,0.17,0.00,0.17  (Feb 2019),0.17  (Mar 2019),2.56 L,0.00 ,Small Cap,66.09
84,- Arihant Superstructures Ltd. ,Residential/commercial/sez project,4.61,34.8,0.06,0.00,0.05  (Mar 2019),0.05  (Mar 2019),6.34 L,0.00 ,Small Cap,66.09
85,Navkar Corporation Ltd. ,Logistics solution provider,1.6,14,0.02,-0.01,0.02  (Jun 2019),0.02  (Jun 2019),4.95 L,-0.84 L,Small Cap,66.09
