,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
56,Taj GVK Hotels & Resorts Ltd. ,Hotels/resorts,6.06,372.8,0.44,-0.09,0.37  (Dec 2018),0.37  (Dec 2018),18.07 L,0.00 ,Small Cap,64.38
57,Greenlam Industries Ltd. ,Plywood boards,0.58,351.9,0.42,-0.07,0.42  (May 2019),0.42  (May 2019),4.01 L,0.00 ,Small Cap,64.38
58,DB Corp Ltd. ,Printing and publishing,0.94,325.4,0.39,0.11,0.28  (Apr 2019),0.28  (Apr 2019),16.53 L,5.02 L,Small Cap,64.38
59,GNA Axles Ltd. ,Auto ancillaries,3.28,317.9,0.38,-0.04,0.38  (May 2019),0.38  (May 2019),10.56 L,0.00 ,Small Cap,64.38
60,Swaraj Engines Ltd. ,Diesel engines,0.25,210.1,0.25,-0.02,0.25  (May 2019),0.25  (May 2019),1.50 L,0.00 ,Small Cap,64.38
61,Everest Industries Ltd. ,Cement products,0.22,183.8,0.22,-0.01,0.22  (May 2019),0.22  (May 2019),4.12 L,0.00 ,Small Cap,64.38
62,Mcleod Russel (India) Ltd. ,Tea &  coffee,0.2,169.3,0.20,-0.21,0.2  (May 2019),0  (Jun 2018),50.91 L,0.00 ,Small Cap,64.38
63,Greenply Industries Ltd. ,Plywood boards,0.58,136,0.16,-0.02,0.16  (May 2019),0.16  (May 2019),8.38 L,0.00 ,Small Cap,64.38
64,VST Tillers Tractors Ltd. ,Tractors,0.16,137.3,0.16,-0.02,0.16  (May 2019),0.16  (May 2019),1.06 L,0.00 ,Small Cap,64.38
65,Banco Products (India) Ltd. ,Auto ancillaries,3.28,111.1,0.13,-0.02,0.13  (May 2019),0.13  (May 2019),7.90 L,0.00 ,Small Cap,64.38
66,CG Power and Industrial Solutions Ltd. ,Power equipment,3.16,98.8,0.12,-0.02,0.12  (May 2019),0.12  (May 2019),27.88 L,0.00 ,Small Cap,64.38
67,- Time Technoplast Ltd. ,Plastic products,2.98,103.5,0.12,0.00,0.12  (May 2019),0.12  (Apr 2019),10.32 L,0.00 ,Small Cap,64.38
68,- Titagarh Wagons ,Railways wagons,0.12,104.9,0.12,0.00,0.12  (Apr 2019),0.12  (Apr 2019),15.09 L,0.00 ,Small Cap,64.38
69,Sarla Performance Fibres Ltd. ,Man made fibres/blended,0.1,83.2,0.10,-0.01,0.1  (May 2019),0.1  (May 2019),29.52 L,-4.87 L,Small Cap,64.38
