,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
33,WPIL Ltd. ,Compressors / pumps,2.69,8.8,1.34,-0.16,1.31  (Feb 2019),1.31  (Feb 2019),10.78 k,0.00 ,Small Cap,97.1
34,PTC India Ltd. ,Power trading,1.32,8.7,1.32,0.03,1.29  (May 2019),1.29  (May 2019),1.29 L,0.00 ,Small Cap,97.1
35,Indostar Capital Finance Private Ltd. ,Nbfc,2.21,7.7,1.17,-0.03,1.05  (Oct 2018),1.05  (Oct 2018),21.03 k,0.00 ,Small Cap,97.1
36,# Magma Fincorp Ltd. ,Nbfc,2.21,6.8,1.04,1.04,1.04  (Jun 2019),0  (Jul 2018),52.66 k,52.66 k,Small Cap,97.1
37,Capacite Infraprojects Ltd. ,Residential/commercial/sez project,1.01,6.6,1.01,0.05,0.72  (Oct 2018),0.72  (Oct 2018),24.47 k,0.00 ,Small Cap,97.1
38,Navneet Publications (india) Ltd. ,Printing and publishing,1.21,6.3,0.97,0.02,0.94  (Jul 2018),0.94  (Jul 2018),59.71 k,0.00 ,Small Cap,97.1
39,Redington (India) Ltd. ,Logistics solution provider,0.96,6.3,0.96,0.12,0.69  (Jan 2019),0.69  (Jan 2019),57.65 k,0.00 ,Small Cap,97.1
40,Salzer Electronics Ltd. ,Consumer elctronics,0.93,6.1,0.93,-0.03,0.84  (Mar 2019),0.84  (Mar 2019),49.04 k,0.00 ,Small Cap,97.1
41,Cyient Ltd. ,It enabled services – software,0.9,5.9,0.90,0.01,0.89  (May 2019),0.89  (May 2019),10.90 k,0.00 ,Small Cap,97.1
42,- Premier Explosives Ltd. ,Explosives,0.81,5.3,0.81,-0.01,0.61  (Sep 2018),0.61  (Sep 2018),26.78 k,0.00 ,Small Cap,97.1
43,Take Solutions Ltd. ,Computers - software,0.78,5.1,0.78,-0.12,0.69  (Nov 2018),0.69  (Nov 2018),41.10 k,0.00 ,Small Cap,97.1
44,Khadim India Ltd. ,Leather and leather products,0.74,4.8,0.74,-0.05,0.74  (Jun 2019),0.74  (Jun 2019),15.88 k,0.00 ,Small Cap,97.1
45,Dollar Industries Ltd. ,Fabrics and garments,2.28,4.5,0.69,0.05,0.64  (May 2019),0.64  (May 2019),17.62 k,0.00 ,Small Cap,97.1
46,VA Tech Wabag Ltd. ,"Engineering, designing, construction",8.39,4.3,0.65,0.01,0.56  (Dec 2018),0.56  (Dec 2018),13.88 k,0.00 ,Small Cap,97.1
47,Asian Granito India Ltd. ,Sanitary ware,0.64,4.2,0.64,0.03,0.43  (Jan 2019),0.43  (Jan 2019),16.84 k,0.00 ,Small Cap,97.1
48,R.P.P. Infra Projects Ltd. ,Construction civil,4.84,2.3,0.35,-0.04,0.35  (Jun 2019),0.35  (Jun 2019),21.30 k,0.00 ,Small Cap,97.1
49,S Chand And Company Ltd. ,Printing and publishing,1.21,1.6,0.24,-0.05,0.24  (Jun 2019),0.24  (Jun 2019),18.00 k,0.00 ,Small Cap,97.1
50,Mcleod Russel (India) Ltd. ,Tea &  coffee,0.2,1.3,0.20,-0.18,0.2  (Jun 2019),0.2  (Jun 2019),80.24 k,0.00 ,Small Cap,97.1
