,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
11,Bharat Heavy Electricals Ltd. ,Power equipment,4.21,1170.4,1.42,0.09,1.33  (May 2019),0  (Jul 2018),1.60 Cr,0.00 ,Mid Cap,11.14
12,Thermax Ltd. ,Industrial equipment,2.48,1164.5,1.41,0.08,0.71  (Mar 2019),0  (Jul 2018),11.00 L,0.00 ,Mid Cap,11.14
13,Security and Intelligence Services (India) Ltd. ,Diversified commercial services,1.41,1159.9,1.41,0.02,0.34  (Nov 2018),0  (Jul 2018),12.81 L,0.00 ,Small Cap,72.85
14,Cyient Ltd. ,It enabled services – software,1.4,1156.7,1.40,-0.02,1.4  (Jun 2019),1.4  (Jun 2019),21.34 L,0.00 ,Small Cap,72.85
15,Carborundum Universal Ltd. ,Abrasives,1.35,1112.7,1.35,-0.04,1.01  (Dec 2018),1.01  (Dec 2018),31.15 L,0.00 ,Small Cap,72.85
16,Raymond Ltd. ,Fabrics and garments,2.96,1082.2,1.31,-0.14,0.86  (Jul 2018),0.86  (Jul 2018),14.80 L,0.00 ,Small Cap,72.85
17,Tata Global Beverages Ltd. ,Tea &  coffee,1.66,1078.3,1.31,0.15,1.16  (May 2019),0  (Jul 2018),39.98 L,0.00 ,Mid Cap,11.14
18,FDC Ltd. ,Pharmaceuticals,4.55,1078.3,1.31,-0.02,0.97  (Mar 2019),0.97  (Mar 2019),57.57 L,57.41 k,Small Cap,72.85
19,West Coast Paper Mills Ltd. ,Paper and paper products,1.3,1067.1,1.30,-0.07,1.29  (Apr 2019),1.29  (Apr 2019),42.38 L,0.00 ,Small Cap,72.85
20,Fine Organic Industries Ltd. ,Chemicals - speciality,6.82,1033.1,1.25,-0.07,0.85  (Jul 2018),0.85  (Jul 2018),7.24 L,2.84 k,Small Cap,72.85
21,Intellect Design Arena ltd. ,Computers - software,1.48,1028.9,1.25,0.02,0.91  (Jan 2019),0.91  (Jan 2019),38.75 L,-1.50 L,Small Cap,72.85
22,NIIT Ltd ,It education,1.22,1000.5,1.22,0.01,0.73  (Oct 2018),0.73  (Oct 2018),97.09 L,0.00 ,Small Cap,72.85
23,Mahindra Logistics Ltd. ,Logistics solution provider,2.11,983.9,1.19,0.21,0.83  (Sep 2018),0.83  (Sep 2018),20.36 L,4.25 L,Small Cap,72.85
24,Birla Corporation Ltd. ,Cement,3.89,969.7,1.18,-0.09,0.86  (Apr 2019),0.86  (Apr 2019),16.38 L,0.00 ,Small Cap,72.85
25,Indian Hotels Company Limited ,Hotels/resorts,1.7,959.9,1.17,0.04,1.02  (Mar 2019),0  (Jul 2018),60.92 L,0.00 ,Mid Cap,11.14
26,HG Infra Engineering Ltd. ,"Engineering, designing, construction",3.44,954.3,1.16,-0.02,0.68  (Aug 2018),0.68  (Oct 2018),33.45 L,0.00 ,Small Cap,72.85
27,ICRA Ltd. ,Ratings,1.14,938.7,1.14,0.11,0.92  (Mar 2019),0  (Jul 2018),2.95 L,0.00 ,Small Cap,72.85
28,- Bajaj Consumer Care Ltd. ,Personal care,1.53,927.4,1.13,0.00,1  (Feb 2019),0  (Jul 2018),28.12 L,0.00 ,Small Cap,72.85
29,HDFC Bank Ltd. ,Banks,6.16,914.8,1.11,0.03,1  (Aug 2018),1  (Aug 2018),3.74 L,0.00 ,Large Cap,7.46
30,Atul Ltd. ,Chemicals - speciality,6.82,908.1,1.10,-0.14,1.1  (Jun 2019),1.1  (Jun 2019),2.28 L,-0.30 L,Mid Cap,11.14
31,Magma Fincorp Ltd. ,Nbfc,1.09,900.1,1.09,0.01,0.93  (Jan 2019),0.93  (Jan 2019),69.26 L,0.00 ,Small Cap,72.85
32,Seya Industries Ltd. ,Chemicals - speciality,6.82,899.1,1.09,-0.03,1.09  (Jun 2019),1.09  (Jun 2019),19.98 L,0.00 ,Small Cap,72.85
33,Radico Khaitan Ltd. ,Brew/distilleries,1.07,883.5,1.07,0.23,0.84  (May 2019),0.84  (May 2019),27.99 L,7.00 L,Small Cap,72.85
34,Steel Authority Of India Ltd. ,Steel,1.03,851.6,1.03,0.03,0.43  (Sep 2018),0  (Jul 2018),1.68 Cr,0.00 ,Mid Cap,11.14
35,J.K. Cement Ltd. ,Cement,3.89,843,1.02,-0.02,0.47  (Oct 2018),0.47  (Nov 2018),8.41 L,0.00 ,Small Cap,72.85
36,HSIL Ltd. ,Glass – consumer,1.01,827.8,1.01,-0.07,0.63  (Nov 2018),0.63  (Nov 2018),32.22 L,0.00 ,Small Cap,72.85
37,Sterlite Technologies Ltd. ,Telecom - cables,3.44,821.4,1.00,0.04,0.8  (Apr 2019),0.8  (Apr 2019),46.79 L,0.00 ,Small Cap,72.85
38,Polyplex Corporation Ltd. ,Packaging,0.96,791.4,0.96,-0.08,0.9  (Jul 2018),0.9  (Jul 2018),15.32 L,0.00 ,Small Cap,72.85
39,Axis Bank Ltd. ,Banks,6.16,780.3,0.95,-0.30,0.95  (Jun 2019),0  (Jul 2018),9.65 L,-3.35 L,Large Cap,7.46
40,Karur Vysya Bank Ltd ,Banks,6.16,760,0.92,-0.07,0.92  (Jun 2019),0.92  (Jun 2019),1.07 Cr,0.00 ,Small Cap,72.85
41,Apar Industries Ltd. ,Power equipment,4.21,759.3,0.92,-0.12,0.92  (Jun 2019),0.92  (Jun 2019),13.13 L,0.00 ,Small Cap,72.85
42,Kirloskar Pneumatic Co. Ltd. ,Compressors / pumps,1.69,746.7,0.91,0.07,0.77  (Oct 2018),0.77  (Oct 2018),38.10 L,0.00 ,Small Cap,72.85
43,Multi Commodity Exchange Of India Ltd. ,Other financial services,0.9,740.8,0.90,0.04,0.49  (Dec 2018),0  (Jul 2018),8.91 L,0.00 ,Small Cap,72.85
44,Federal Bank Ltd. ,Banks,6.16,721.4,0.88,0.03,0.48  (Sep 2018),0.48  (Sep 2018),66.55 L,0.00 ,Mid Cap,11.14
45,Balrampur Chini Mills Ltd. ,Sugar,0.87,719.1,0.87,-0.04,0.85  (Mar 2019),0  (Jul 2018),51.68 L,1.68 L,Small Cap,72.85
46,L G Balakrishnan & Bros Ltd. ,Auto ancillaries,4.74,716.1,0.87,-0.06,0.87  (Jun 2019),0.87  (Jun 2019),21.01 L,0.00 ,Small Cap,72.85
47,Ashoka Buildcon Ltd. ,"Engineering, designing, construction",3.44,705.2,0.86,0.01,0.77  (Sep 2018),0.77  (Sep 2018),50.14 L,0.00 ,Small Cap,72.85
48,KEC International Ltd. ,"Engineering, designing, construction",3.44,698.4,0.85,0.03,0.82  (May 2019),0  (Jul 2018),21.72 L,0.00 ,Small Cap,72.85
49,Elantas Beck India Ltd. ,Chemicals - organic,0.83,683.6,0.83,-0.03,0.83  (Jun 2019),0.83  (Jun 2019),3.31 L,319.00 ,Small Cap,72.85
50,Rallis India Ltd. ,Pesticides and agrochemicals,0.81,666.9,0.81,-0.01,0.27  (Jan 2019),0  (Jul 2018),45.77 L,24.40 k,Small Cap,72.85
51,Tejas Networks Ltd. ,Telecom - cables,3.44,666.1,0.81,-0.23,0.81  (Jun 2019),0.81  (Jun 2019),46.70 L,0.00 ,Small Cap,72.85
52,Kirloskar Brothers Ltd. ,Compressors / pumps,1.69,640.2,0.78,0.04,0.45  (Jan 2019),0.45  (Jan 2019),34.85 L,81.55 k,Small Cap,72.85
53,ISGEC Heavy Engineering Ltd. ,Industrial equipment,2.48,632.9,0.77,-0.05,0.51  (Feb 2019),0.51  (Feb 2019),13.95 L,0.00 ,Other,1.83
54,- Voltamp Transformers Ltd. ,Power equipment,4.21,628.2,0.76,0.00,0.61  (Oct 2018),0.61  (Oct 2018),5.42 L,2.13 k,Small Cap,72.85
55,GAIL (India) Ltd. ,Gas transmission/marketing,0.76,623.9,0.76,-0.10,0.76  (Jun 2019),0  (Jul 2018),20.00 L,0.00 ,Large Cap,7.46
56,India Cements Ltd. ,Cement,3.89,610.9,0.74,-0.03,0.71  (Jan 2019),0.71  (Jan 2019),61.21 L,0.00 ,Small Cap,72.85
57,AstraZeneca Pharma India Ltd. ,Pharmaceuticals,4.55,602.1,0.73,0.07,0.54  (Nov 2018),0.54  (Nov 2018),2.83 L,0.00 ,Small Cap,72.85
58,Honda Siel Power Products Ltd. ,Power equipment,4.21,599.6,0.73,-0.03,0.73  (Jun 2019),0.73  (Jun 2019),6.60 L,28.20 k,Small Cap,72.85
59,# KPIT Engineering Ltd. ,Auto ancillaries,4.74,598.2,0.73,0.73,0.73  (Jun 2019),0  (Jul 2018),61.83 L,61.83 L,Other,1.83
60,Honeywell Automation India Ltd. ,Industrial electronics,1.07,590.8,0.72,-0.12,0.72  (Jun 2019),0.72  (Jun 2019),23.70 k,-3.78 k,Mid Cap,11.14
61,Orient Cement Ltd. ,Cement,3.89,582.2,0.71,-0.08,0.55  (Feb 2019),0.55  (Feb 2019),56.97 L,0.00 ,Small Cap,72.85
62,State Bank Of India ,Banks,6.16,581.6,0.71,0.04,0.67  (May 2019),0  (Jul 2018),16.10 L,0.00 ,Large Cap,7.46
63,Dixon Technologies (India) Ltd. ,Consumer elctronics,0.69,566.4,0.69,-0.03,0.69  (Dec 2018),0  (Jul 2018),2.50 L,0.00 ,Small Cap,72.85
64,JTEKT India Ltd. ,Auto ancillaries,4.74,546.3,0.66,-0.07,0.66  (Jun 2019),0.66  (Jun 2019),57.50 L,0.00 ,Small Cap,72.85
65,PSP Projects Ltd. ,Construction civil,0.64,529.1,0.64,0.04,0.5  (Oct 2018),0.5  (Oct 2018),9.63 L,0.00 ,Small Cap,72.85
66,Sheela Foam Ltd. ,Houseware,0.64,527.6,0.64,0.05,0.59  (May 2019),0.59  (May 2019),3.96 L,0.00 ,Small Cap,72.85
67,Sundaram Finance Holdings Ltd. ,Investment companies,0.63,521.8,0.63,-0.03,0.46  (Mar 2019),0.46  (Mar 2019),60.36 L,0.00 ,Small Cap,72.85
68,# Hindustan Aeronautics Ltd. ,Airlines,0.61,498.7,0.61,0.61,0.61  (Jun 2019),0  (Jul 2018),6.98 L,6.98 L,Mid Cap,11.14
69,Galaxy Surfactants Ltd. ,Chemicals - speciality,6.82,497.5,0.60,0.04,0.51  (Apr 2019),0  (Jul 2018),4.02 L,0.00 ,Small Cap,72.85
70,Cochin Shipyard Ltd. ,Ship building & allied services,0.6,490.4,0.60,0.04,0.56  (May 2019),0.56  (May 2019),12.96 L,66.38 k,Small Cap,72.85
71,Future Supply Chain Solutions Ltd. ,Logistics solution provider,2.11,483.4,0.59,-0.05,0.54  (Mar 2019),0.54  (Mar 2019),8.45 L,0.00 ,Small Cap,72.85
72,Texmaco Rail & Engineering Ltd. ,"Engineering, designing, construction",3.44,469.5,0.57,-0.03,0.44  (Nov 2018),0.44  (Nov 2018),67.65 L,0.00 ,Small Cap,72.85
73,HDFC Standard Life Insurance Company Ltd. ,Insurance,0.56,464.1,0.56,0.04,0.5  (Apr 2019),0  (Jul 2018),10.00 L,0.00 ,Large Cap,7.46
74,Timken India Ltd. ,Bearings,1.03,460,0.56,0.06,0.35  (Oct 2018),0.35  (Oct 2018),6.27 L,0.00 ,Small Cap,72.85
75,- Cadila Healthcare Ltd. ,Pharmaceuticals,4.55,459.2,0.56,0.00,0.42  (Aug 2018),0  (Jul 2018),19.00 L,0.00 ,Mid Cap,11.14
76,Central Depository Services (India) Ltd. ,Capital markets,0.54,440.6,0.54,0.04,0.28  (Dec 2018),0  (Jul 2018),20.00 L,1.46 L,Small Cap,72.85
77,- EIH Ltd ,Hotels/resorts,1.7,439.1,0.53,0.00,0.52  (Sep 2018),0.52  (Sep 2018),24.00 L,0.00 ,Mid Cap,11.14
78,- Automotive Axles Ltd. ,Auto ancillaries,4.74,433.8,0.53,0.00,0.53  (Jun 2019),0  (Jul 2018),4.01 L,1.00 k,Small Cap,72.85
79,K.P.R. Mill Ltd. ,Fabrics and garments,2.96,424.5,0.52,0.02,0.49  (Mar 2019),0.49  (Mar 2019),6.86 L,0.00 ,Small Cap,72.85
80,Siyaram Silk Mills Ltd. ,Fabrics and garments,2.96,419.1,0.51,-0.03,0.51  (Jun 2019),0.51  (Jun 2019),13.75 L,25.00 k,Small Cap,72.85
81,Apex Frozen Foods Ltd. ,Consumer food,0.85,416.2,0.51,-0.07,0.51  (Jun 2019),0.51  (Jun 2019),16.24 L,7.49 k,Small Cap,72.85
82,Indoco Remedies Ltd. ,Pharmaceuticals,4.55,407.9,0.50,-0.05,0.5  (Jun 2019),0.5  (Jun 2019),25.08 L,0.00 ,Small Cap,72.85
83,Entertainment Network (India) Ltd. ,Media & entertainment,0.51,407.6,0.50,0.08,0.42  (May 2019),0.42  (May 2019),9.41 L,2.02 L,Small Cap,72.85
84,- Nrb Bearings Ltd. ,Bearings,1.03,383.7,0.47,0.00,0.47  (Jun 2019),0.47  (Jun 2019),23.35 L,0.00 ,Small Cap,72.85
85,Johnson Controls-Hitachi Air Conditioning India Ltd. ,Air conditioner,0.45,374.4,0.45,-0.01,0.45  (Jun 2019),0.45  (Jun 2019),2.11 L,0.00 ,Small Cap,72.85
86,Ion Exchange (india) Ltd. ,Engineering,0.45,372.3,0.45,0.13,0.27  (Nov 2018),0.27  (Nov 2018),5.56 L,0.00 ,Small Cap,72.85
87,# Emami Ltd. ,Personal care,1.53,332.3,0.40,0.40,0.4  (Jun 2019),0  (Jul 2018),11.11 L,11.11 L,Mid Cap,11.14
88,INEOS Styrolution India Ltd. ,Plastic products,0.39,322.2,0.39,-0.02,0.39  (Jun 2019),0.39  (Jun 2019),6.97 L,2.25 k,Small Cap,72.85
89,TD Power Systems Ltd. ,Power equipment,4.21,312.7,0.38,0.01,0.3  (Mar 2019),0.3  (Mar 2019),20.41 L,0.00 ,Small Cap,72.85
90,Arvind Ltd. ,Fabrics and garments,2.96,300.1,0.36,-0.03,0.24  (Dec 2018),0.24  (Dec 2018),47.40 L,3.40 L,Small Cap,72.85
91,Srikalahasthi Pipes Ltd. ,Pig iron,0.36,297.5,0.36,-0.03,0.36  (Jun 2019),0.36  (Jun 2019),17.65 L,635.00 ,Small Cap,72.85
92,Genus Power Infrastructures Ltd. ,Industrial electronics,1.07,289.5,0.35,-0.02,0.35  (Jun 2019),0.35  (Jun 2019),1.21 Cr,10.00 L,Small Cap,72.85
93,Orient Paper & Industries Ltd. ,Home appliances,3.79,286.5,0.35,-0.04,0.35  (Jun 2019),0.35  (Jun 2019),1.00 Cr,0.00 ,Small Cap,72.85
94,Akzo Nobel India Ltd. ,Paints,0.35,286.1,0.35,0.02,0.33  (May 2019),0  (Jul 2018),1.59 L,0.00 ,Small Cap,72.85
95,Tata Coffee Ltd ,Tea &  coffee,1.66,285.9,0.35,-0.02,0.35  (Jun 2019),0.35  (Jun 2019),34.80 L,17.46 k,Small Cap,72.85
96,Gujarat Alkalies & Chemicals Ltd. ,Chemicals - inorganic,2.23,272.1,0.33,0.01,0.32  (May 2019),0  (Jul 2018),5.23 L,31.20 k,Small Cap,72.85
97,Advanced Enzyme Technologies Ltd. ,Consumer products,1.9,269.5,0.33,-0.07,0.32  (Feb 2019),0.32  (Feb 2019),15.88 L,0.00 ,Small Cap,72.85
98,Navkar Corporation Ltd. ,Logistics solution provider,2.11,269.1,0.33,-0.06,0.33  (Jun 2019),0.33  (Jun 2019),94.91 L,0.00 ,Small Cap,72.85
99,# Motherson Sumi Systems Ltd. ,Auto ancillaries,4.74,268.3,0.33,0.33,0.33  (Jun 2019),0  (Jul 2018),22.00 L,22.00 L,Large Cap,7.46
100,Garden Reach Shipbuilders and Engineers Ltd. ,Defense,0.32,264.6,0.32,0.02,0.25  (Jan 2019),0  (Jul 2018),21.40 L,0.00 ,Small Cap,72.85
101,Arvind Fashions Ltd. ,Industrial equipment,2.48,245,0.30,-0.04,0.3  (Jun 2019),0  (Jul 2018),3.60 L,0.00 ,Other,1.83
102,Indian Terrain Fashions Ltd. ,Fabrics and garments,2.96,215.4,0.26,-0.01,0.26  (Jun 2019),0.26  (Jun 2019),20.54 L,0.00 ,Small Cap,72.85
103,KCP Ltd. ,Cement,3.89,197,0.24,-0.02,0.24  (Jun 2019),0.24  (Jun 2019),23.48 L,0.00 ,Small Cap,72.85
104,Shree Pushkar Chemicals & Fertilizers Ltd. ,Dyes and pigments,0.24,196.2,0.24,-0.02,0.24  (Jun 2019),0.24  (Jun 2019),16.16 L,0.00 ,Small Cap,72.85
105,- Ramco Systems ,Computers - software,1.48,187.6,0.23,0.00,0.13  (Mar 2019),0.13  (Mar 2019),8.88 L,0.00 ,Small Cap,72.85
106,- Century Plyboards India Ltd. ,Plywood boards,0.21,173,0.21,0.00,0.21  (Jun 2019),0.21  (May 2019),10.33 L,0.00 ,Small Cap,72.85
107,Pokarna Ltd. ,Sanitary ware,0.2,165,0.20,-0.08,0.2  (Jun 2019),0  (Jul 2018),13.41 L,25.00 k,Small Cap,72.85
108,- Welspun Corp Ltd. ,Steel products,0.17,141.8,0.17,0.00,0.09  (Apr 2019),0  (Jul 2018),10.09 L,0.00 ,Small Cap,72.85
109,# Heritage Foods (india) Ltd. ,Consumer food,0.85,141.6,0.17,0.17,0.17  (Jun 2019),0  (Jul 2018),3.49 L,3.49 L,Small Cap,72.85
110,LT Foods Ltd. ,Consumer food,0.85,140,0.17,-0.02,0.17  (Jun 2019),0.17  (Jun 2019),56.24 L,2.00 L,Small Cap,72.85
111,Jagran Prakashan Ltd. ,Printing and publishing,0.14,98.7,0.12,-0.19,0.12  (Jun 2019),0.12  (Jun 2019),9.10 L,-0.13 Cr,Small Cap,72.85
112,Tata Sponge Iron Ltd. ,Sponge iron,0.12,79.1,0.10,-0.02,0.1  (Jun 2019),0  (Jul 2018),1.44 L,0.00 ,Small Cap,72.85
113,Sandhar Technologies Ltd. ,Auto ancillaries,4.74,77.6,0.09,-0.01,0.09  (Jun 2019),0  (Jul 2018),2.75 L,0.00 ,Small Cap,72.85
114,Camlin Fine Sciences Ltd. ,Chemicals - speciality,6.82,50.6,0.06,0.01,0.05  (May 2019),0.05  (Apr 2019),8.95 L,1.47 L,Small Cap,72.85
115,HT Media Ltd. ,Printing and publishing,0.14,16.6,0.02,-0.09,0.02  (Jun 2019),0.02  (Jun 2019),5.73 L,-0.21 Cr,Small Cap,72.85
116,# Tata Sponge Iron Ltd. - Rights ,Sponge iron,0.12,15.6,0.02,0.02,0.02  (Jun 2019),0  (Jul 2018),3.08 L,3.08 L,Other,1.83
117,Digicontent Limited ,Media & entertainment,0.51,9.7,0.01,-0.01,0.01  (Jun 2019),0  (Jul 2018),7.27 L,0.00 ,Other,1.83
