,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
12,Indraprastha Gas Ltd. ,Lpg/cng/png/lng supplier,2.41,20.1,2.41,0.10,1.88  (Jun 2018),1.88  (Jun 2018),59.80 k,0.00 ,Mid Cap,66.32
13,ICICI Lombard General Insurance Co Ltd. ,Insurance,5.47,18.9,2.26,-0.29,1.63  (Jun 2018),1.63  (Jun 2018),16.05 k,-2.84 k,Large Cap,14.06
14,Tata Global Beverages Ltd. ,Tea &  coffee,2.22,18.5,2.22,1.03,1.14  (Mar 2019),1.14  (Mar 2019),75.91 k,29.98 k,Mid Cap,66.32
15,EIH Ltd ,Hotels/resorts,2.17,18.2,2.17,-0.12,1.91  (Sep 2018),1.91  (Sep 2018),98.30 k,0.00 ,Mid Cap,66.32
16,Bayer Cropscience Ltd. ,Pesticides and agrochemicals,2.16,18,2.16,-0.23,2.16  (May 2019),2.16  (May 2019),4.70 k,0.00 ,Mid Cap,66.32
17,Max Financial Services Ltd. ,Nbfc,10.2,17.7,2.12,0.09,1.98  (Oct 2018),1.98  (Oct 2018),39.39 k,0.00 ,Mid Cap,66.32
18,V-Guard Industries Ltd. ,Industrial electronics,2.12,17.7,2.12,-0.02,1.84  (Sep 2018),1.84  (Sep 2018),73.07 k,-6.57 k,Small Cap,14.75
19,Whirlpool Of India Ltd. ,Home appliances,4.73,17.6,2.11,0.04,0.93  (Dec 2018),0.93  (Dec 2018),12.02 k,0.00 ,Mid Cap,66.32
20,Oberoi Realty Ltd. ,Residential/commercial/sez project,2.04,17.1,2.04,0.14,1.54  (Aug 2018),1.54  (Aug 2018),30.37 k,0.00 ,Mid Cap,66.32
21,Aditya Birla Fashion and Retail Ltd. ,Retailing,5.62,16.9,2.02,-0.11,0.94  (Jul 2018),0.94  (Jul 2018),80.06 k,0.00 ,Mid Cap,66.32
22,L&T Technology Services Ltd. ,It enabled services – software,2.01,16.8,2.01,-0.48,0.35  (Jul 2018),0.35  (Jul 2018),9.55 k,-2.05 k,Mid Cap,66.32
23,Quess Corp Ltd. ,Diversified commercial services,1.99,16.6,1.99,-0.22,1.99  (May 2019),1.99  (May 2019),25.52 k,0.00 ,Small Cap,14.75
24,Mahindra & Mahindra Financial Services Ltd. ,Nbfc,10.2,16,1.91,0.04,1.88  (Apr 2019),1.88  (Apr 2019),37.90 k,0.00 ,Mid Cap,66.32
25,Redington (India) Ltd. ,Logistics solution provider,1.85,15.4,1.85,-0.09,1.48  (Jan 2019),1.48  (Jan 2019),1.54 L,0.00 ,Small Cap,14.75
26,Mphasis Ltd. ,Computers - software,1.78,14.9,1.78,-0.01,1.78  (May 2019),1.78  (May 2019),15.00 k,0.00 ,Mid Cap,66.32
27,LIC Housing Finance Ltd. ,Housing finance,1.67,13.9,1.67,-0.11,1.59  (Sep 2018),0  (Jun 2018),24.92 k,-4.05 k,Mid Cap,66.32
28,Federal Bank Ltd. ,Banks,6.99,13.9,1.66,0.18,1.2  (Sep 2018),1.2  (Sep 2018),1.29 L,0.00 ,Mid Cap,66.32
29,GMR Infrastructure Ltd. ,"Engineering, designing, construction",1.61,13.4,1.61,-0.17,1.61  (May 2019),1.61  (May 2019),8.65 L,0.00 ,Small Cap,14.75
30,Castrol (india) Ltd. ,Lubricants,1.59,13.3,1.59,-0.11,1.59  (May 2019),1.59  (May 2019),90.35 k,0.00 ,Mid Cap,66.32
31,JM Financial Ltd. ,Stockbroking and allied,2.44,13.1,1.57,0.07,1.39  (Oct 2018),1.39  (Oct 2018),1.37 L,0.00 ,Small Cap,14.75
32,WABCO India Ltd. ,Auto ancillaries,3.72,12.3,1.48,-0.04,1.48  (May 2019),1.48  (May 2019),1.96 k,0.00 ,Mid Cap,66.32
33,Vardhman Textiles Ltd. ,Spinning-cotton/blended,1.47,12.3,1.47,-0.10,1.43  (Aug 2018),1.43  (Aug 2018),11.31 k,0.00 ,Small Cap,14.75
34,Bank Of Baroda ,Banks,6.99,12.2,1.46,0.14,1.32  (Apr 2019),0  (Jun 2018),91.32 k,0.00 ,Large Cap,14.06
35,Jindal Steel & Power Ltd. ,Steel,1.43,11.9,1.43,-0.09,1.22  (Jan 2019),1.22  (Jan 2019),74.48 k,5.49 k,Mid Cap,66.32
36,J.K. Cement Ltd. ,Cement,6.27,11.4,1.37,0.15,0.98  (Oct 2018),0  (Jun 2018),10.95 k,0.00 ,Small Cap,14.75
37,Sundaram-Clayton Ltd. ,Auto ancillaries,3.72,10.7,1.28,-0.15,1.28  (May 2019),1.28  (May 2019),4.13 k,0.00 ,Small Cap,14.75
38,# L&T Finance Holdings Ltd. ,Investment companies,1.19,8.5,1.02,1.02,1.02  (May 2019),0  (Jun 2018),63.71 k,63.71 k,Mid Cap,66.32
39,Emami Ltd. ,Personal care,1,8.4,1.00,-0.44,1  (May 2019),1  (May 2019),23.98 k,-6.08 k,Mid Cap,66.32
40,# Tata Power Co. Ltd. ,Power,0.99,8.2,0.99,0.99,0.99  (May 2019),0  (Jun 2018),1.20 L,1.20 L,Mid Cap,66.32
41,# Schaeffler India Ltd. ,Bearings,0.96,8,0.96,0.96,0.96  (May 2019),0  (Jun 2018),1.56 k,1.56 k,Mid Cap,66.32
42,Motherson Sumi Systems Ltd. ,Auto ancillaries,3.72,8,0.96,0.33,0.63  (Apr 2019),0.63  (Apr 2019),69.22 k,34.47 k,Large Cap,14.06
43,Karur Vysya Bank Ltd ,Banks,6.99,6.8,0.81,-0.02,0.75  (Mar 2019),0  (Jun 2018),86.67 k,0.00 ,Small Cap,14.75
44,ICICI Securities Ltd. ,Stockbroking and allied,2.44,5.7,0.68,-0.02,0.68  (Feb 2019),0  (Jun 2018),25.57 k,0.00 ,Small Cap,14.75
45,# IIFL Wealth Management Ltd. ,Investment companies,1.19,1.4,0.17,0.17,0.17  (May 2019),0  (Jun 2018),1.08 k,1.08 k,Other,0.19
46,# IIFL Holdings Ltd. ,Stockbroking and allied,2.44,1.4,0.17,0.17,0.17  (May 2019),0  (Jun 2018),7.53 k,7.53 k,Mid Cap,66.32
47,# IIFL Securities Ltd. ,Stockbroking and allied,2.44,0.2,0.02,0.02,0.02  (May 2019),0  (Jun 2018),7.53 k,7.53 k,Other,0.19
